Object,Visual_Angle_degrees,Observer_Distance_m,Observer_Elevation_degrees
Lamp bulb 5disk1,0.382579162,12.56035828,-2.327073972
Lamp bulb 5disk2,0.382579162,12.55120616,-0.794328838
Lamp bulb 5disk3,0.382579162,12.57390651,3.533698307
Lamp bulb 5disk4,0.382579162,12.62104874,6.082358894
Lamp bulb 5disk5,0.382579162,12.70217604,8.877818048
Lamp bulb 7disk1,0.378926882,12.55145944,-0.873749967
Lamp bulb 7disk2,0.379296675,30.015613,1.84810262
Lamp bulb 7disk3,0.390359006,59.72382344,2.849086961
