Date,"Diameter 
[km]","Distance
 [km]","Visual angle
 [degrees]","N 
Participants",
1/12/25,3476,379144,0.5253,25,
1/13/25,3476,381133,0.5225,17,
5/13/25,3476,404420,0.4925,3,
8/7/25,3476,386624,0.5151,7,
8/9/25,3476,379992,0.5241,6,
