"ID","Gender","Date","Age","Distance","Real_Visual_Angle","Reported_Visual_Angle","Time","Task","Ratio_Visual_Angle","Elevation","Session","Template_Distance","Template_Size"
1018,"Male","7/21/2024",21,370233,0.537927917429303,0.891249709902549,"11:23:00 PM","Perceptual",1.65681995863262,19,"Higher",63,0.98
1019,"Female","7/21/2024",17,370233,0.537927917429303,2.25999915301493,"10:30:00 PM","Perceptual",4.20130482131362,11,"Lower",54.5,2.15
1019,"Female","7/21/2024",17,370233,0.537927917429303,1.48650980969647,"11:12:00 PM","Perceptual",2.7633996331708,17,"Higher",55.5,1.44
1020,"Female","7/21/2024",17,370233,0.537927917429303,1.27929096791041,"10:33:00 PM","Perceptual",2.37818288744708,12,"Lower",73,1.63
1020,"Female","7/21/2024",17,370233,0.537927917429303,1.04434985062509,"11:32:00 PM","Perceptual",1.94143084377536,20,"Higher",79,1.44
1021,"Male","8/19/2024",20,363196,0.54835022801984,1.44180445535242,"9:10:00 PM","Perceptual",2.62934960483001,9,"Lower",75.5,1.9
1021,"Male","8/19/2024",20,363196,0.54835022801984,1.44180445535242,"10:15:00 PM","Perceptual",2.62934960483001,20,"Higher",75.5,1.9
1022,"Female","8/19/2024",21,363196,0.54835022801984,3.22707786576236,"9:18:00 PM","Perceptual",5.88506706273423,10,"Lower",71,4
1022,"Female","8/19/2024",21,363196,0.54835022801984,2.03529390911587,"10:20:00 PM","Perceptual",3.71166784495661,20,"Higher",76,2.7
1023,"Male","8/19/2024",20,363196,0.54835022801984,1.65338761680617,"9:25:00 PM","Perceptual",3.01520366422888,11,"Lower",74.5,2.15
1023,"Male","8/19/2024",20,363196,0.54835022801984,1.31532421137466,"10:37:00 PM","Perceptual",2.39869365263959,23,"Higher",71,1.63
53,"Female","8/19/2024",22,363196,0.54835022801984,0.802127811933412,"9:32:00 PM","Perceptual",1.46280200307383,13,"Lower",70,0.98
53,"Female","8/19/2024",22,363196,0.54835022801984,0.639574153287337,"10:40:00 PM","Perceptual",1.16636069542073,23.5,"Higher",86,0.96
