ID Number,Gender,Age,Date,Moon Diameter (km),Moon Distance (km),Time 1,Round 1 Estimate Template Number,Round 1 Estimate Template Size (cm),Round 1 Estimate Distance (cm),Elevation 1 (deg),Round 2 Estimate Template Number,Round 2 Estimate Template Size (cm),Round 2 Estimate Distance (cm),Time 2,Elevation 2 (deg) 
1045,Male,19,10/16/2024,3476,357488,7:56:00 PM,8,0.96,76.00,21.00,9,0.98,81.50,9:21:00 PM,37.00
1046,GNC,18,10/16/2024,3476,357488,7:59:00 PM,13,1.90,67.00,22.00,12,1.63,63.00,9:14:00 PM,36.00
1047,Male,23,10/16/2024,3476,357488,8:01:00 PM,10,1.22,75.50,22.00,10,1.22,81.00,9:34:00 PM,39.00
1048,Female,18,10/16/2024,3476,357488,8:03:00 PM,14,2.15,78.00,22.00,10,1.22,85.00,9:35:00 PM,39.50
1049,Male,18,10/16/2024,3476,357488,8:04:00 PM,17,3.30,70.00,22.00,15,2.44,85.00,9:43:00 PM,41.00
1050,Male,22,10/16/2024,3476,357488,8:06:00 PM,10,1.22,83.00,23.00,10,1.22,84.00,9:38:00 PM,40.00
1051,Female,21,10/16/2024,3476,357488,8:08:00 PM,10,1.22,41.00,23.00,7,0.78,50.50,9:50:00 PM,42.00
1052,Female,18,10/16/2024,3476,357488,8:10:00 PM,16,2.70,68.00,24.00,11,1.44,73.50,10:08:00 PM,45.00
1053,Female,21,10/16/2024,3476,357488,8:12:00 PM,10,1.22,75.00,24.00,8,0.96,73.50,10:02:00 PM,44.00
1054,Female,21,10/17/2024,3476,357252,7:16:00 PM,17,3.30,74.00,7.00,13,1.90,83.00,9:50:00 PM,36.00
1055,Female,22,10/17/2024,3476,357252,7:24:00 PM,13,1.90,81.00,8.00,9,0.98,82.50,9:45:00 PM,36.00
1056,Female,18,10/17/2024,3476,357252,7:30:00 PM,14,2.15,61.50,10.00,6,0.72,80.00,9:53:00 PM,37.00
1057,Male,23,10/17/2024,3476,357252,7:35:00 PM,16,2.70,75.00,11.00,13,1.90,83.75,9:29:00 PM,32.00
1058,Female,,10/17/2024,3476,357252,7:46:00 PM,16,2.70,79.50,13.00,13,1.90,77.00,9:38:00 PM,34.00
1059,Female,18,10/17/2024,3476,357252,7:40:00 PM,15,2.44,68.00,11.00,14,2.15,64.50,9:48:00 PM,36.00
1060,Female,,10/17/2024,3476,357252,7:42:00 PM,14,2.15,88.50,12.00,12,1.63,73.50,9:35:00 PM,34.00
1061,Female,19,10/17/2024,3476,357252,7:45:00 PM,15,2.44,71.00,12.00,14,2.15,76.00,9:12:00 PM,29.00
1062,Female,19,10/17/2024,3476,357252,7:54:00 PM,14,2.15,65.50,14.00,13,1.90,68.00,9:47:00 PM,36.00
1063,Female,21,10/17/2024,3476,357252,7:55:00 PM,13,1.90,78.50,14.00,8,0.96,75.75,10:03:00 PM,39.00
1064,Female,20,10/17/2024,3476,357252,8:06:00 PM,13,1.90,86.50,16.00,14,2.15,68.00,10:32:00 PM,45.00
1065,Female,18,10/17/2024,3476,357252,8:00:00 PM,12,1.63,74.50,15.00,8,0.96,71.50,9:43:00 PM,35.00
1066,Female,20,10/17/2024,3476,357252,8:03:00 PM,15,2.44,75.50,16.00,11,1.44,79.25,9:57:00 PM,38.00
1067,Female,23,10/17/2024,3476,357252,8:05:00 PM,13,1.90,80.00,16.00,11,1.44,84.00,10:07:00 PM,40.00
1068,Female,22,10/17/2024,3476,357252,8:09:00 PM,13,1.90,72.00,17.00,13,1.90,80.50,10:09:00 PM,40.00
1069,Female,38,10/17/2024,3476,357252,8:12:00 PM,9,0.98,55.50,17.00,5,0.65,63.25,9:55:00 PM,37.00
1070,Female,23,10/17/2024,3476,357252,8:15:00 PM,12,1.63,65.00,18.00,10,1.22,81.00,9:58:00 PM,38.00
1071,Female,21,10/17/2024,3476,357252,8:17:00 PM,14,2.15,73.75,18.00,11,1.44,84.50,10:15:00 PM,41.00
1072,Female,18,10/17/2024,3476,357252,8:20:00 PM,10,1.22,38.20,19.00,8,0.96,77.50,10:01:00 PM,39.00
1073,Female,,10/17/2024,3476,357252,8:23:00 PM,13,1.90,59.40,20.00,10,1.22,73.00,9:40:00 PM,35.00
1074,Female,20,10/17/2024,3476,357252,8:26:00 PM,14,2.15,61.00,20.00,7,0.78,66.25,10:27:00 PM,44.00
52,Female,19,10/17/2024,3476,357252,8:28:00 PM,6,0.72,71.10,21.00,7,0.78,76.50,10:41:00 PM,46.00
1076,GNC,23,10/17/2024,3476,357252,8:30:00 PM,9,0.98,51.70,21.00,,,,,
1077,Female,18,10/17/2024,3476,357252,8:33:00 PM,12,1.63,49.00,21.00,10,1.22,76.00,10:25:00 PM,43.00
1078,Female,,10/17/2024,3476,357252,8:35:00 PM,7,0.78,60.40,22.00,7,0.78,61.25,10:26:00 PM,44.00
1079,Female,18,10/17/2024,3476,357252,8:37:00 PM,10,1.22,63.60,22.00,8,0.96,82.00,10:22:00 PM,43.00
1080,Female,22,10/17/2024,3476,357252,8:40:00 PM,10,1.22,54.30,23.00,9,0.98,74.75,10:21:00 PM,43.00
54,Female,23,10/17/2024,3476,357252,8:42:00 PM,8,0.96,67.70,23.00,10,1.22,72.50,10:28:00 PM,44.00
1082,Female,18,10/17/2024,3476,357252,8:45:00 PM,8,0.96,46.90,24.00,9,0.98,67.00,10:36:00 PM,45.00
32131,Female,21,11/15/2024,3476,361929,5:10:00 PM,13,1.90,72.00,4.00,7,0.78,66.00,6:52:00 PM,23.00
31948,Male,19,11/15/2024,3476,361929,5:12:00 PM,13,1.90,68.00,5.00,,,,,
1083,Female,22,11/15/2024,3476,361929,5:14:00 PM,13,1.90,74.00,5.00,,,,,
32002,Male,20,11/15/2024,3476,361929,5:16:00 PM,10,1.22,76.50,5.00,,,,,
32245,Female,20,11/15/2024,3476,361929,5:18:00 PM,7,0.78,61.00,6.00,6,0.72,65.00,6:55:00 PM,23.00
31924,Female,19,11/15/2024,3476,361929,5:20:00 PM,14,2.15,70.00,6.00,12,1.63,77.00,7:00:00 PM,24.00
1084,Female,20,11/15/2024,3476,361929,5:22:00 PM,11,1.44,60.50,6.00,12,1.63,66.00,7:01:00 PM,25.00
31504,Female,20,11/15/2024,3476,361929,5:24:00 PM,12,1.63,83.50,7.00,6,0.72,79.00,6:54:00 PM,23.00
1085,Male,19,11/15/2024,3476,361929,5:26:00 PM,15,2.44,81.50,7.00,,,,,
1066,Female,18,11/15/2024,3476,361929,5:37:00 PM,14,2.15,69.50,9.00,12,1.63,66.00,6:58:00 PM,24.00
1072,Female,18,11/15/2024,3476,361929,5:39:00 PM,9,0.98,61.50,10.00,10,1.22,68.00,6:48:00 PM,22.00
1056,Female,18,11/15/2024,3476,361929,5:51:00 PM,9,0.98,76.00,11.00,9,0.98,79.00,6:57:00 PM,24.00
1087,Female,18,11/15/2024,3476,361929,5:59:00 PM,14,2.15,62.00,13.00,12,1.63,63.00,,
1088,Male,18,11/15/2024,3476,361929,6:03:00 PM,16,2.70,72.00,14.00,9,0.98,76.00,7:31:00 PM,30.00
1089,Female,19,11/15/2024,3476,361929,6:07:00 PM,12,1.63,68.00,14.00,11,1.44,68.00,,
1090,Female,18,11/15/2024,3476,361929,6:01:00 PM,12,1.63,85.00,13.00,13,1.90,78.00,7:25:00 PM,29.00
1082,Female,18,11/15/2024,3476,361929,6:11:00 PM,10,1.22,69.00,15.00,10,1.22,79.00,7:34:00 PM,31.00
1091,Male,19,11/15/2024,3476,361929,6:15:00 PM,16,2.70,55.00,16.00,10,1.22,55.00,,
1092,Female,,11/15/2024,3476,361929,6:20:00 PM,15,2.44,78.00,17.00,14,2.15,75.00,7:38:00 PM,32.00
31459,Female,,11/15/2024,3476,361929,6:22:00 PM,11,1.44,71.00,17.00,9,0.98,62.00,,
5000,Female,20,1/12/2025,3476,379144,12:00:00 AM,13,1.90,67.50,5.00,7,0.78,58.75,5:44:00 PM,18.00
6875341,Female,18,1/12/2025,3476,379144,4:35:00 PM,10,1.22,71.25,6.00,9,0.98,77.00,5:40:00 PM,17.00
32437,Female,19,1/12/2025,3476,379144,4:38:00 PM,11,1.44,78.00,6.00,5,0.65,74.50,6:01:00 PM,20.00
6875476,Female,18,1/12/2025,3476,379144,4:40:00 PM,10,1.22,77.25,7.00,3,0.49,77.00,6:05:00 PM,21.00
6873834,Female,18,1/12/2025,3476,379144,4:42:00 PM,17,3.30,69.00,7.00,16,2.70,65.00,6:07:00 PM,21.00
5001,Female,19,1/12/2025,3476,379144,4:45:00 PM,12,1.63,82.25,7.00,5,0.65,73.50,6:04:00 PM,21.00
5002,Male,18,1/12/2025,3476,379144,4:48:00 PM,11,1.44,84.00,8.00,10,1.22,73.00,5:58:00 PM,20.00
5003,Female,19,1/12/2025,3476,379144,4:49:00 PM,14,2.15,73.00,8.00,12,1.63,68.50,6:01:00 PM,21.00
5004,Female,18,1/12/2025,3476,379144,4:52:00 PM,5,0.65,69.00,9.00,6,0.72,70.50,6:09:00 PM,22.00
5005,Female,20,1/12/2025,3476,379144,4:55:00 PM,16,2.70,69.00,9.00,13,1.90,69.00,6:20:00 PM,24.00
5006,Female,20,1/12/2025,3476,379144,4:58:00 PM,11,1.44,77.50,10.00,10,1.22,78.50,5:51:00 PM,19.00
5007,Female,19,1/12/2025,3476,379144,,,,,,11,1.44,91.00,6:49:00 PM,29.00
5008,Male,19,1/12/2025,3476,379144,5:01:00 PM,10,1.22,86.00,10.00,,,,,
5009,Male,18,1/12/2025,3476,379144,5:04:00 PM,11,1.44,73.50,11.00,9,0.98,71.00,"6:12 p,m",22.00
5010,Female,20,1/12/2025,3476,379144,5:08:00 PM,11,1.44,72.50,11.00,10,1.22,72.00,6:22:00 PM,25.00
5011,Female,26,1/12/2025,3476,379144,5:09:00 PM,11,1.44,76.50,11.00,14,2.15,69.00,6:17:00 PM,23.00
5012,Female,20,1/12/2025,3476,379144,5:12:00 PM,12,1.63,83.00,12.00,12,1.63,86.25,6:15:00 PM,23.00
5013,Female,18,1/12/2025,3476,379144,5:16:00 PM,12,1.63,73.50,12.00,14,2.15,70.50,6:36:00 PM,27.00
5014,Female,18,1/12/2025,3476,379144,5:14:00 PM,12,1.63,80.00,12.00,11,1.44,76.75,6:38:00 PM,28.00
5015,Female,19,1/12/2025,3476,379144,5:18:00 PM,13,1.90,73.50,13.00,10,1.22,76.50,6:39:00 PM,28.00
5016,Female,19,1/12/2025,3476,379144,5:20:00 PM,13,1.90,74.50,13.00,16,2.70,72.50,6:42:00 PM,28.00
31453,GNC,21,1/12/2025,3476,379144,5:26:00 PM,14,2.15,80.00,14.00,10,1.22,76.00,6:45:00 PM,29.00
5018,Female,21,1/12/2025,3476,379144,5:29:00 PM,15,2.44,70.00,15.00,8,0.96,75.50,6:25:00 PM,25.00
5019,Female,18,1/12/2025,3476,379144,5:33:00 PM,16,2.70,74.50,16.00,4,0.52,72.00,6:28:00 PM,26.00
5020,Female,20,1/12/2025,3476,379144,5:35:00 PM,16,2.70,77.50,16.00,8,0.96,73.50,6:52:00 PM,30.00
5021,Female,19,1/12/2025,3476,379144,5:37:00 PM,17,3.30,79.25,17.00,9,0.98,74.50,6:53:00 PM,30.00
5022,Female,18,1/12/2025,3476,379144,5:38:00 PM,17,3.30,71.00,17.00,11,1.44,72.00,6:43:00 PM,28.00
5023,Male,,1/13/2025,3476,381133,5:36:00 PM,17,3.30,60.50,5.00,14,2.15,53.50,7:06:00 PM,21.00
32329,Female,,1/13/2025,3476,381133,5:40:00 PM,14,2.15,55.50,5.00,11,1.44,51.50,6:58:00 PM,19.00
5025,Male,,1/13/2025,3476,381133,5:43:00 PM,12,1.63,63.00,6.00,10,1.22,58.50,6:51:00 PM,18.00
5026,Female,18,1/13/2025,3476,381133,5:46:00 PM,13,1.90,50.50,6.00,12,1.63,48.50,6:53:00 PM,18.00
5027,Female,,1/13/2025,3476,381133,5:49:00 PM,18,3.80,58.00,7.00,16,2.70,54.30,7:03:00 PM,20.00
1043,Female,18,1/13/2025,3476,381133,5:51:00 PM,7,0.78,42.00,7.00,7,0.78,55.00,6:55:00 PM,19.00
5029,Female,20,1/13/2025,3476,381133,5:53:00 PM,11,1.44,51.50,8.00,,,,,
5030,Female,,1/13/2025,3476,381133,5:57:00 PM,13,1.90,53.50,8.00,7,0.78,52.70,7:13:00 PM,22.00
5031,Female,18,1/13/2025,3476,381133,5:59:00 PM,10,1.22,62.00,9.00,9,0.98,61.00,7:22:00 PM,24.00
5032,Male,19,1/13/2025,3476,381133,6:17:00 PM,8,0.96,57.50,12.00,7,0.78,63.50,7:27:00 PM,24.00
5034,Male,23,1/13/2025,3476,381133,6:22:00 PM,8,0.96,57.00,12.00,5,0.65,54.00,7:20:00 PM,23.00
5033,Female,18,1/13/2025,3476,381133,6:25:00 PM,9,0.98,65.00,13.00,7,0.78,55.40,7:35:00 PM,26.00
5035,Male,20,1/13/2025,3476,381133,6:28:00 PM,11,1.44,62.00,14.00,10,1.22,52.90,7:32:00 PM,26.00
5036,Female,22,1/13/2025,3476,381133,6:30:00 PM,13,1.90,57.70,14.00,12,1.63,56.60,7:30:00 PM,25.00
5037,Female,18,1/13/2025,3476,381133,6:33:00 PM,6,0.72,57.00,14.00,6,0.72,56.00,7:38:00 PM,27.00
5038,Female,18,1/13/2025,3476,381133,6:38:00 PM,11,1.44,60.50,16.00,10,1.22,60.30,8:07:00 PM,32.00
5039,Female,18,1/13/2025,3476,381133,6:41:00 PM,16,2.70,63.00,16.00,15,2.44,62.80,7:37:00 PM,27.00
5040,Female,19,1/13/2025,3476,381133,6:43:00 PM,13,1.90,54.50,17.00,10,1.22,52.00,8:04:00 PM,31.00
1034,Female,19,5/13/2025,3476,404420,10:21:00 PM,13,1.90,48,5.00,12,1.63,53.00,11:53:00 PM,17.00
5050,Male,25,5/13/2025,3476,404420,10:31:00 PM,12,1.63,55.00,7.00,13,1.90,62.00,11:58:00 PM,17.00
5051,Female,,5/13/2025,3476,404420,10:39:00 PM,10,1.22,58.50,8.00,10.00,1.22,59.00,12:13:00 AM,19.00
6006,Male,21,8/7/2025,3476,386624,7:57:00 PM,12,1.63,78.50,3.00,13,1.90,75.40,9:00:00 PM,12.00
6006,Male,21,8/7/2025,3476,386624,9:30:00 PM,13,1.90,75.40,16.00,,,,,
6041,Female,19,8/7/2025,3476,386624,8:04:00 PM,8,0.96,60.30,4.00,4,0.52,61.50,9:37:00 PM,17.00
1028,Male,56,8/7/2025,3476,386624,8:54:00 PM,18,3.80,66.50,2.50,17,3.30,74.50,9:53:00 PM,19.00
6044,Female,,8/7/2025,3476,386624,7:55:00 PM,13,1.90,66.50,2.50,12,1.63,63.40,9:38:00 PM,17.00
6045,Male,,8/7/2025,3476,386624,7:58:00 PM,13,1.90,78.50,3.00,11,1.44,60.30,9:28:00 PM,16.00
6043,Female,,8/7/2025,3476,386624,8:01:00 PM,16,2.70,77.00,3.50,11,1.44,73.80,9:49:00 PM,19.00
6046,Female,,8/7/2025,3476,386624,8:03:00 PM,17,3.30,56.50,4.00,13,1.90,60.70,9:44:00 PM,18.00
6028,Female,49,8/9/2025,3476,379992,9:22:00 PM,10,1.22,69.50,7.00,11,1.44,71.50,10:40:00 PM,20.00
6014,Female,,8/9/2025,3476,379992,9:35:00 PM,11,1.44,78.00,9.00,10,1.22,70.30,11:02:00 PM,23.00
6047,Female,26,8/9/2025,3476,379992,9:13:00 PM,12,1.63,67.20,5.00,10,1.22,80.00,10:45:00 PM,21.00
6048,Male,,8/9/2025,3476,379992,9:18:00 PM,17,3.30,81.00,6.00,14,2.15,80.60,10:48:00 PM,21.00
6,Male,,8/9/2025,3476,379992,9:25:00 PM,17,3.30,78.40,7.00,14,2.15,80.50,10:53:00 PM,22.00
6049,Female,,8/9/2025,3476,379992,9:30:00 PM,13,1.90,68.70,8.00,10,1.22,71.50,10:57:00 PM,23.00
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
