Study,Task,modelName,FormulaStr,Intercept,IciL,IciU,Ip,VAe,VAciL,VAciU,VAp,De,DciL,DciU,Dp,Ee,EciL,EciU,Ep,AIC,BIC,RsqAdj
combined_quad_moon,perceptual,logPM_by_logAngle,log2ratio_visual_angle ~ 1 + log2real_visual_angle + (1 | ID),0.596212722501798,0.533111025891187,0.65931441911241,9.95195507551445e-69,-0.139066141901709,-0.153355590768742,-0.124776693034677,2.30283557947488e-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1181.57754405276,1202.54300918605,0.796577053980415
combined_quad_moon,perceptual,logPM_by_logDistance,log2ratio_visual_angle ~ 1 + log2distance + (1 | ID),0.01179705201619,-0.0501648737361012,0.0737589777684812,0.708843813050209,NaN,NaN,NaN,NaN,0.0397597969728049,0.0368093820868114,0.0427102118587984,3.68628182951411e-125,NaN,NaN,NaN,NaN,1014.25124988376,1035.21671501705,0.777897274497044
combined_quad_moon,perceptual,logPM_by_logElevation,log2ratio_visual_angle ~ 1 + log2elevation + (1 | ID),0.229396865149769,0.145556006395537,0.313237723904002,9.35287791156314e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.134803323106586,0.11380641088411,0.155800235329062,1.61109048348242e-34,1374.70667512087,1395.66066248444,0.727722941465637
combined_quad_moon,perceptual,logPM_by_logAngleNDistance,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + (1 | ID),0.0642836399002299,0.00243506059454932,0.12613221920591,0.0416482700116742,-0.109251224685533,-0.122819637923894,-0.0956828114471718,7.98872995370446e-52,0.0338869751196864,0.0309618100633218,0.036812140176051,1.67735693816741e-97,NaN,NaN,NaN,NaN,792.32356890937,818.530400325982,0.8243099378792
combined_quad_moon,perceptual,logPM_by_logAngleNElevation,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2elevation + (1 | ID),0.103083435792638,0.0295727896795064,0.176594081905771,0.0060214632398507,-0.159343027651549,-0.173138562838168,-0.145547492464931,5.60020662463668e-97,NaN,NaN,NaN,NaN,0.157787553745323,0.139717853727115,0.175857253763531,7.9916619115189e-60,940.102315359979,966.294799564451,0.810812052548811
combined_quad_moon,perceptual,logPM_by_logDistanceNElevation,log2ratio_visual_angle ~ 1 + log2distance + log2elevation + (1 | ID),-0.0925557570421051,-0.164371807905123,-0.0207397061790876,0.0115754908224463,NaN,NaN,NaN,NaN,0.0358125190131032,0.0325539142100629,0.0390711238161435,3.69944012852169e-89,0.0552722791552158,0.0347511529108592,0.0757934053995725,1.46880183121341e-07,988.323065566725,1014.5155497712,0.779221522890603
combined_quad_moon,perceptual,logPM_by_logAngleNDistanceNElevation,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),-0.110581621963942,-0.179482601984405,-0.0416806419434782,0.00167685705891739,-0.125743774235215,-0.139283276858449,-0.11220427161198,1.15818159606615e-66,0.026560149230757,0.023383287595827,0.0297370108656869,2.16850299075405e-55,0.0942485128333894,0.0756040985156654,0.112892927151114,1.92969293586827e-22,699.517457759727,730.948438805093,0.835423491338266
