Factor,ID,StereoGroup,Log2Intercept,PowerLawIntercept,SubjectSlope
Visual Angle,1032,StereoTypical,0.952968037286212,1.93585116479127,-0.186065027517927
Visual Angle,1034,StereoTypical,1.29102640939805,2.44702087603859,-0.190314687565361
Visual Angle,5051,StereoTypical,1.42033174731309,2.67647049244217,-0.152047066323689
Visual Angle,6001,StereoTypical,0.290415896015814,1.22299278775559,-0.153866636746301
Visual Angle,7002,StereoTypical,1.89084665149655,3.7085279739202,-0.247689070567435
Visual Angle,7003,StereoTypical,0.820222471290708,1.76567824861773,-0.159599318264629
Visual Angle,7004,StereoTypical,1.21621197603196,2.32335881125201,-0.140972062511067
Visual Angle,7011,StereoTypical,0.640566325297179,1.55894099649888,-0.246046918705876
Visual Angle,7012,StereoTypical,0.959485521963025,1.94461630348456,-0.161506753794857
Visual Angle,7013,StereoTypical,1.47044445259345,2.77107249198279,-0.189317948586391
Visual Angle,7014,StereoTypical,1.70281750199166,3.25536091765486,-0.251272471905632
Visual Angle,7015,StereoTypical,0.940952915915901,1.91979586621327,-0.197139636939668
Visual Angle,7016,StereoTypical,1.71762957801287,3.28895570417478,-0.231256503130571
Visual Angle,7017,StereoTypical,0.65164066868552,1.57095370796862,-0.215902884303416
Visual Angle,7018,StereoTypical,1.70969679658755,3.27092073027341,-0.29857560930321
Visual Angle,7019,StereoTypical,1.08490770458307,2.12123977354887,-0.168780909607099
Visual Angle,7020,StereoTypical,1.41894467355695,2.67389844652849,-0.187164295452408
Visual Angle,7043,StereoTypical,0.97572887516902,1.96663452485183,-0.194894889753901
Visual Angle,7044,StereoTypical,1.04971693151827,2.07012363276654,-0.164016242305357
Visual Angle,7049,StereoTypical,0.918746683719567,1.89047226490513,-0.164801091028469
Visual Angle,7051,StereoTypical,1.84656648138462,3.5964323863024,-0.264858639304554
Visual Angle,7007,StereoDeficient,1.06000487490748,2.08493856673692,-0.174755534685887
Visual Angle,7008,StereoDeficient,0.908601396222334,1.87722476250791,-0.169306925227522
Visual Angle,7021,StereoDeficient,0.694866021742703,1.61873409969926,-0.16161515623324
Visual Angle,7048,StereoDeficient,0.602423209194316,1.51826456488711,-0.158288384700755
Visual Angle,7050,StereoDeficient,0.701019811165793,1.62565352737692,-0.161836614785888
Visual Angle,31624,StereoBlind,0.855493497140907,1.80937757610196,-0.177889604377838
Visual Angle,7000,StereoBlind,1.55625918517542,2.94090296875537,-0.342156553314769
Visual Angle,7001,StereoBlind,0.204508329630105,1.15229357830334,-0.0546960112123527
Visual Angle,7005,StereoBlind,0.970487272258188,1.95950230805237,-0.200528778982215
Visual Angle,7006,StereoBlind,1.0609838886993,2.08635388756704,-0.217896883454221
Visual Angle,7010,StereoBlind,0.744009277041531,1.67482374469377,-0.185579754095066
Visual Angle,7045,StereoBlind,0.573534060214853,1.48816455270658,-0.0770630376399857
Visual Angle,7046,StereoBlind,1.4223291809379,2.68017867370999,-0.188567314244039
