ID,Initials,N,EstimatedIntercept_log2,InterceptDeviationFromCombinedFixed,EstimatedIntercept_PM,MeanLog2VisualAngle,MeanLog2Distance_m
1,EGB,18,2.3372395005035,1.08170571450447,5.0533478794815,-0.923325641327169,28.4926690588985
2,AHH,22,2.95853345262639,1.70299966662736,7.77333371007636,-0.957247059673508,28.5265909630467
3,LMH,22,3.3730596753995,2.11752588940046,10.3607725432571,-0.957247059673508,28.5265909630467
4,Ve,7,1.49773836118012,0.24220457518108,2.82399661865025,-0.87002055535435,28.4393632095229
5,DT,5,1.76423489005968,0.508701104060645,3.396938007734,-0.838158399489421,28.4075005598198
6,RT,5,1.37746246076352,0.121928674764488,2.59810990488729,-0.838158399489421,28.4075005598198
7,Sm,5,0.646039278762356,-0.60949450723668,1.56486616788203,-0.845296354073705,28.414638627126
