Study,modelName,FormulaStr,Name,Estimate,SE,tStat,DF,pValue,Lower,Upper,LogLikelihood,AIC,BIC,RsqAdj
StanfordQuad_merged_disparity_0429_version3,logOffset_by_logDistance,log2mean_disparity ~ 1 + log2distance + (1 | ID),(Intercept),4.74956870980494,0.11187648415568,42.4536822518998,318,4.7171216545983e-133,4.52945710313302,4.96968031647685,-68.5046171145989,145.009234229198,160.082518212373,0.87409026126002
StanfordQuad_merged_disparity_0429_version3,logOffset_by_logDistance,log2mean_disparity ~ 1 + log2distance + (1 | ID),log2distance,-0.00845222101567663,0.0165114591838368,-0.51190030642177,318,0.609076084572932,-0.0409377235489415,0.0240332815175882,-68.5046171145989,145.009234229198,160.082518212373,0.87409026126002
StanfordQuad_merged_disparity_0429_version3,logOffset_by_logElevation,log2mean_disparity ~ 1 + log2elevation + (1 | ID),(Intercept),4.60209036324073,0.0945346515878716,48.6815182151807,318,1.93652979279513e-149,4.41609797883383,4.78808274764764,-61.6506517016896,131.301303403379,146.374587386554,0.880342691516907
StanfordQuad_merged_disparity_0429_version3,logOffset_by_logElevation,log2mean_disparity ~ 1 + log2elevation + (1 | ID),log2elevation,0.0587112758683863,0.0155139785955027,3.78441129765423,318,0.000184108021622792,0.0281882684615929,0.0892342832751797,-61.6506517016896,131.301303403379,146.374587386554,0.880342691516907
StanfordQuad_merged_disparity_0429_version3,logOffset_by_logDistanceNElevation,log2mean_disparity ~ 1 + log2distance + log2elevation + (1 | ID),(Intercept),4.62390854759983,0.115750504076559,39.9472000963513,317,9.20819108247681e-126,4.39617224842478,4.85164484677488,-61.5973542783608,133.194708556722,152.036313535691,0.880004817132725
StanfordQuad_merged_disparity_0429_version3,logOffset_by_logDistanceNElevation,log2mean_disparity ~ 1 + log2distance + log2elevation + (1 | ID),log2distance,-0.00526698660224882,0.0161308594386191,-0.326516179890518,317,0.74424931818752,-0.037004059890796,0.0264700866862984,-61.5973542783608,133.194708556722,152.036313535691,0.880004817132725
StanfordQuad_merged_disparity_0429_version3,logOffset_by_logDistanceNElevation,log2mean_disparity ~ 1 + log2distance + log2elevation + (1 | ID),log2elevation,0.0584470086867807,0.015532609072661,3.7628584105457,317,0.000200088933614365,0.0278869784306622,0.0890070389428992,-61.5973542783608,133.194708556722,152.036313535691,0.880004817132725
StanfordQuad_merged_disparity_0429_version3,linearOffset_by_DistanceNElevation,MeanDisparity ~ 1 + Elevation*Distance + (1 | ID),(Intercept),22.0377426595364,2.70241184427271,8.15484238875048,316,8.31610224991413e-15,16.7207486562654,27.3547366628074,-1025.20960450968,2062.41920901936,2085.02913499412,0.844070251592995
StanfordQuad_merged_disparity_0429_version3,linearOffset_by_DistanceNElevation,MeanDisparity ~ 1 + Elevation*Distance + (1 | ID),Elevation,2.25296883259806,0.732311478418635,3.07651716379368,316,0.00227748703132723,0.812146351180055,3.69379131401606,-1025.20960450968,2062.41920901936,2085.02913499412,0.844070251592995
StanfordQuad_merged_disparity_0429_version3,linearOffset_by_DistanceNElevation,MeanDisparity ~ 1 + Elevation*Distance + (1 | ID),Distance,0.387371825058628,0.157571358463293,2.45838982944904,316,0.0144922992111645,0.0773502531016462,0.69739339701561,-1025.20960450968,2062.41920901936,2085.02913499412,0.844070251592995
StanfordQuad_merged_disparity_0429_version3,linearOffset_by_DistanceNElevation,MeanDisparity ~ 1 + Elevation*Distance + (1 | ID),Elevation:Distance,-0.141832638986018,0.0560102900670754,-2.53226039029909,316,0.0118169429243598,-0.252032857742185,-0.0316324202298507,-1025.20960450968,2062.41920901936,2085.02913499412,0.844070251592995
