ID,Gender,Age,Notes,Date,Time,Lamp1 Estimate Template Number,Lamp1 Estimate Template Size (cm),Lamp1 Estimate Distance (cm),Lamp1 Adjusted Template Number,Lamp1 Adjusted Template Size (cm),Lamp1 Adjusted Distance (cm),Lamp1 Width (cm),Lamp1 Distance (cm),Lamp2 Estimate Template Number,Lamp2 Estimate Template Size (cm),Lamp2 Estimate Distance (cm),Lamp2 Adjusted Template Number,Lamp2 Adjusted Template Size (cm),Lamp2 Adjusted Distance (cm),Lamp2 Width (cm),Lamp2 Distance (cm),Lamp3 Estimate Template Number,Lamp3 Estimate Template Size (cm),Lamp3 Estimate Distance (cm),Lamp3 Adjusted Template Number,Lamp3 Adjusted Template Size (cm),Lamp3 Adjusted Distance (cm),Lamp3 Width (cm),Lamp3 Distance (cm),Lamp4 Estimate Template Number,Lamp4 Estimate Template Size (cm),Lamp4 Estimate Distance (cm),Lamp4 Adjusted Template Number,Lamp4 Adjusted Template Size (cm),Lamp4 Adjusted Distance (cm),Lamp4 Width (cm),Lamp4 Distance (cm),Lamp1a Estimate Template Number,Lamp1a Estimate Template Size (cm),Lamp1a Estimate Distance (cm),Lamp1a Adjusted Template Number,Lamp1a Adjusted Template Size (cm),Lamp1a Adjusted Distance (cm),Lamp1a Width (cm),Lamp1a Distance (cm),Lamp1a 1st Caliper Aperture (cm),Lamp1a 1st Caliper Distance (cm),Lamp2a Estimate Template Number,Lamp2a Estimate Template Size (cm),Lamp2a Estimate Distance (cm),Lamp2a Adjusted Template Number,Lamp2a Adjusted Template Size (cm),Lamp2a Adjusted Distance (cm),Lamp2a Width (cm),Lamp2a Distance (cm),Lamp2a 1st Caliper Aperture (cm),Lamp2a 1st Caliper Distance (cm),Lamp3a Estimate Template Number,Lamp3a Estimate Template Size (cm),Lamp3a Estimate Distance (cm),Lamp3a Adjusted Template Number,Lamp3a Adjusted Template Size (cm),Lamp3a Adjusted Distance (cm),Lamp3a Width (cm),Lamp3a Distance (cm),Lamp3a 1st Caliper Aperture (cm),Lamp3a 1st Caliper Distance (cm),Lamp4a Estimate Template Number,Lamp4a Estimate Template Size (cm),Lamp4a Estimate Distance (cm),Lamp4a Adjusted Template Number,Lamp4a Adjusted Template Size (cm),Lamp4a Adjusted Distance (cm),Lamp4a Width (cm),Lamp4a Distance (cm),Lamp4a 1st Caliper Aperture (cm),Lamp4a 1st Caliper Distance (cm),Lamp5 Estimate Template Number,Lamp5 Estimate Template Size (cm),Lamp5 Estimate Distance (cm),Lamp5 Adjusted Template Number,Lamp5 Adjusted Template Size (cm),Lamp5 Adjusted Distance (cm),Lamp5 Width (cm),Lamp5 Distance (cm),Lamp5 1st Caliper Aperture (cm),Lamp5 1st Caliper Distance (cm),Lamp5 2nd Caliper Aperture (cm),Lamp5 2nd Caliper Distance (cm),Lamp6 Estimate Template Number,Lamp6 Estimate Template Size (cm),Lamp6 Estimate Distance (cm),Lamp6 Adjusted Template Number,Lamp6 Adjusted Template Size (cm),Lamp6 Adjusted Distance (cm),Lamp6 Width (cm),Lamp6 Distance (cm),Lamp6 1st Caliper Aperture (cm),Lamp6 1st Caliper Distance (cm),Lamp6 2nd Caliper Aperture (cm),Lamp6 2nd Caliper Distance (cm),Lamp7 Estimate Template Number,Lamp7 Estimate Template Size (cm),Lamp7 Estimate Distance (cm),Lamp7 Adjusted Template Number,Lamp7 Adjusted Template Size (cm),Lamp7 Adjusted Distance (cm),Lamp7 Width (cm),Lamp7 Distance (cm),Lamp7 1st Caliper Aperture (cm),Lamp7 1st Caliper Distance (cm),Lamp7 2nd Caliper Aperture (cm),Lamp7 2nd Caliper Distance (cm),Stick1 Estimate Template Number,Stick1 Estimate Template Size (cm),Stick1 Estimate Distance (cm),Stick1 Adjusted Template Number,Stick1 Adjusted Template Size (cm),Stick1 Adjusted Distance (cm),Stick1 Width (cm),Stick1 Height (cm),Stick1 Distance (cm),Stick2 Estimate Template Number,Stick2 Estimate Template Size (cm),Stick2 Estimate Distance (cm),Stick2 Adjusted Template Number,Stick2 Adjusted Template Size (cm),Stick2 Adjusted Distance (cm),Stick2 Width (cm),Stick2 Height (cm),Stick2 Distance (cm),Stick3 Estimate Template Number,Stick3 Estimate Template Size (cm),Stick3 Estimate Distance (cm),Stick3 Adjusted Template Number,Stick3 Adjusted Template Size (cm),Stick3 Adjusted Distance (cm),Stick3 Width (cm),Stick3 Height (cm),Stick3 Distance (cm),Stick4 Estimate Template Number,Stick4 Estimate Template Size (cm),Stick4 Estimate Distance (cm),Stick4 Adjusted Template Number,Stick4 Adjusted Template Size (cm),Stick4 Adjusted Distance (cm),Stick4 Width (cm),Stick4 Height (cm),Stick4 Distance (cm),Stick7 Estimate Template Number,Stick7 Estimate Template Size (cm),Stick7 Estimate Distance (cm),Stick7 Adjusted Template Number,Stick7 Adjusted Template Size (cm),Stick7 Adjusted Distance (cm),Stick7 Width (cm),Stick7 Height (cm),Stick7 Distance (cm),Stick7 1st Caliper Aperture (cm),Stick7 1st Caliper Distance (cm),Stick7 2nd Caliper Aperture (cm),Stick7 2nd Caliper Distance (cm),Stick8 Estimate Template Number,Stick8 Estimate Template Size (cm),Stick8 Estimate Distance (cm),Stick8 Adjusted Template Number,Stick8 Adjusted Template Size (cm),Stick8 Adjusted Distance (cm),Stick8 Width (cm),Stick8 Height (cm),Stick8 Distance (cm),Stick8 1st Caliper Aperture (cm),Stick8 1st Caliper Distance (cm),Stick8 2nd Caliper Aperture (cm),Stick8 2nd Caliper Distance (cm),Stick9 Estimate Template Number,Stick9 Estimate Template Size (cm),Stick9 Estimate Distance (cm),Stick9 Adjusted Template Number,Stick9 Adjusted Template Size (cm),Stick9 Adjusted Distance (cm),Stick9 Width (cm),Stick9 Height (cm),Stick9 Distance (cm),Stick9 1st Caliper Aperture (cm),Stick9 1st Caliper Distance (cm),Stick9 2nd Caliper Aperture (cm),Stick9 2nd Caliper Distance (cm),Stick9a Estimate Template Number,Stick9a Estimate Template Size (cm),Stick9a Estimate Distance (cm),Stick9a Adjusted Template Number,Stick9a Adjusted Template Size (cm),Stick9a Adjusted Distance (cm),Stick9a Width (cm),Stick9a Height (cm),Stick9a Distance (cm),Stick9a 1st Caliper Aperture (cm),Stick9a 1st Caliper Distance (cm),Stick9a 2nd Caliper Aperture (cm),Stick9a 2nd Caliper Distance (cm),Stick10 Estimate Template Number,Stick10 Estimate Template Size (cm),Stick10 Estimate Distance (cm),Stick10 Adjusted Template Number,Stick10 Adjusted Template Size (cm),Stick10 Adjusted Distance (cm),Stick10 Width (cm),Stick10 Height (cm),Stick10 Distance (cm),Stick10 1st Caliper Aperture (cm),Stick10 1st Caliper Distance (cm),Stick10 2nd Caliper Aperture (cm),Stick10 2nd Caliper Distance (cm),MoonBallBall1 Estimate Template Number,MoonBall1 Estimate Template Size (cm),MoonBall1 Estimate Distance (cm),MoonBall1 Adjusted Template Number,MoonBall1 Adjusted Template Size (cm),MoonBall1 Adjusted Distance (cm),MoonBall1 Width (cm),MoonBall1 Distance (cm),MoonBall2 Estimate Template Number,MoonBall2 Estimate Template Size (cm),MoonBall2 Estimate Distance (cm),MoonBall2 Adjusted Template Number,MoonBall2 Adjusted Template Size (cm),MoonBall2 Adjusted Distance (cm),MoonBall2 Width (cm),MoonBall2 Distance (cm),MoonBall3 Estimate Template Number,MoonBall3 Estimate Template Size (cm),MoonBall3 Estimate Distance (cm),MoonBall3 Adjusted Template Number,MoonBall3 Adjusted Template Size (cm),MoonBall3 Adjusted Distance (cm),MoonBall3 Width (cm),MoonBall3 Distance (cm),MoonBall4 Estimate Template Number,MoonBall4 Estimate Template Size (cm),MoonBall4 Estimate Distance (cm),MoonBall4 Adjusted Template Number,MoonBall4 Adjusted Template Size (cm),MoonBall4 Adjusted Distance (cm),MoonBall4 Width (cm),MoonBall4 Distance (cm),BlueBall Estimate Template Number,BlueBall Estimate Template Size (cm),BlueBall Estimate Distance (cm),BlueBall Adjusted Template Number,BlueBall Adjusted Template Size (cm),BlueBall Adjusted Distance (cm),BlueBall Width (cm),BlueBall Distance (cm),BlueBall 1st Caliper Aperture (cm),BlueBall 1st Caliper Distance (cm),BlueBall 2nd Caliper Aperture (cm),BlueBall 2nd Caliper Distance (cm)
10,Female,21,,3/8/2024,15:35,10,1.22,54.00,4,0.52,41.00,40.64,6280,15,2.44,54.00,10,1.22,44.50,40.64,2020,12,1.63,54.00,7,0.78,48.00,40.64,5027,13,1.90,54.00,9,0.98,51.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,14,9,54,5,2.77,38.50,14,259.08,6280,17,13,54,10,5.17,30.00,14,259.08,2020,15,10.34,54,7,3.32,35.50,14,259.08,5027,16,11,54,9,4.15,37.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
11,Male,22,,3/13/2024,14:09,10,1.22,46.00,5,0.65,51.00,40.64,6280,17,3.3,46.00,12,1.63,56.00,40.64,2020,11,1.44,46.00,6,0.72,63.50,40.64,5027,14,2.15,46.00,8,0.96,63.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,9,4.15,46,5,2.77,55.50,14,259.08,6280,16,11,46,14,9,59.00,14,259.08,2020,10,5.17,46,7,3.32,64.50,14,259.08,5027,13,7.7,46,10,5.17,63.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
12,Female,18,,3/13/2024,15:12,9,0.98,64.00,3,0.49,61.50,40.64,6280,12,1.63,64.00,10,1.22,60.50,40.64,2020,10,1.22,64.00,5,0.65,59.00,40.64,5027,12,1.63,64.00,8,0.96,62.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,9,4.15,64,6,3.05,55.50,14,259.08,6280,12,6.89,64,14,9,62.00,14,259.08,2020,10,5.17,64,8,4.07,63.00,14,259.08,5027,12,6.89,64,11,6.1,62.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
13,Female,24,,3/13/2024,16:17,9,0.98,35.00,1,0.3,26.50,40.64,6280,13,1.90,35.00,6,0.72,32.50,40.64,2020,10,1.22,35.00,1,0.3,32.00,40.64,5027,12,1.63,35.00,3,0.49,31.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,11,6.1,35,1,1.4,33.00,14,259.08,6280,14,9,35,8,4.07,34.00,14,259.08,2020,11,6.1,35,2,1.66,33.00,14,259.08,5027,14,9,35,7,3.32,35.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
14,Female,33,,4/16/2024,13:14,10,1.22,57.00,1,0.3,50.50,40.64,6280,14,2.15,57.00,10,1.22,52.50,40.64,2020,13,1.90,57.00,4,0.52,54.50,40.64,5027,15,2.44,57.00,9,0.98,55.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,11,6.1,57,1,1.4,42.00,14,259.08,6280,15,10.34,57,11,6.1,45.00,14,259.08,2020,12,6.89,57,6,3.05,53.00,14,259.08,5027,15,10.34,57,11,6.1,56.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
15,Female,27,,4/16/2024,14:12,10,1.22,53.50,4,0.52,46.50,40.64,6280,14,2.15,53.50,9,0.98,33.50,40.64,2020,12,1.63,53.50,2,0.39,27.00,40.64,5027,13,1.90,53.50,2,0.39,16.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,14,9,53.5,1,1.4,28.00,14,259.08,6280,15,10.34,53.5,5,2.77,18.00,14,259.08,2020,13,7.7,53.5,2,1.66,27.50,14,259.08,5027,14,9,53.5,3,2.08,16.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
16,Male,28,,4/18/2024,16:00,9,0.98,60.00,2,0.39,35.50,40.64,6280,14,2.15,60.00,6,0.72,27.50,40.64,2020,11,1.44,60.00,2,0.39,35.00,40.64,5027,13,1.90,60.00,4,0.52,41.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,12,6.89,60,5,2.77,63.50,14,259.08,6280,16,11,60,7,3.32,25.50,14,259.08,2020,14,9,60,6,3.05,47.50,14,259.08,5027,15,10.34,60,7,3.32,43.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
17,Male,31,,4/19/2024,14:18,8,0.96,57.50,4,0.52,49.00,40.64,6280,12,1.63,57.50,11,1.44,54.00,40.64,2020,7,0.78,57.50,6,0.72,58.25,40.64,5027,9,0.98,57.50,9,0.98,59.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,11,6.1,57.5,5,2.77,55.00,14,259.08,6280,16,11,57.5,13,7.7,57.25,14,259.08,2020,12,6.89,57.5,5,2.77,54.50,14,259.08,5027,13,7.7,57.5,9,4.15,53.25,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
18,Female,28,,4/19/2024,15:09,10,1.22,57.50,2,0.39,32.50,40.64,6280,12,1.63,57.50,9,0.98,40.50,40.64,2020,11,1.44,57.50,4,0.52,48.50,40.64,5027,11,1.44,57.50,7,0.78,50.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,13,7.7,57.5,3,2.08,37.50,14,259.08,6280,17,13,57.5,10,5.17,35.50,14,259.08,2020,14,9,57.5,6,3.05,48.00,14,259.08,5027,15,10.34,57.5,8,4.07,47.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
19,Male,25,,4/19/2024,16:16,10,1.22,69.00,2,0.39,19.00,40.64,6280,16,2.7,69.00,9,0.98,33.00,40.64,2020,12,1.63,69.00,5,0.65,61.00,40.64,5027,15,2.44,69.00,8,0.96,59.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,9,4.15,69,3,2.08,43.00,14,259.08,6280,15,10.34,69,8,4.07,35.00,14,259.08,2020,12,6.89,69,5,2.77,58.50,14,259.08,5027,10,5.17,69,7,3.32,52.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
20,Female,21,,5/10/2024,14:49,6,0.72,41.00,1,0.3,41.75,40.64,6280,11,1.44,41.00,5,0.65,32.00,40.64,2020,5,0.65,41.00,2,0.39,44.50,40.64,5027,9,0.98,41.00,3,0.49,40.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,6,3.05,41,1,1.4,40.00,14,259.08,6280,14,9,41,5,2.77,25.50,14,259.08,2020,10,5.17,41,2,1.66,34.50,14,259.08,5027,12,6.89,41,6,3.05,39.80,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
21,Male,34,,5/15/2024,12:50,12,1.63,62.00,2,0.39,38.50,40.64,6280,17,3.3,62.00,8,0.96,39.25,40.64,2020,15,2.44,62.00,3,0.49,42.50,40.64,5027,16,2.7,62.00,6,0.72,47.25,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,16,11,62,2,1.66,38.00,14,259.08,6280,18,15,62,10,5.17,42.50,14,259.08,2020,17,13,62,5,2.77,44.50,14,259.08,5027,18,15,62,8,4.07,53.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
22,Male,39,,5/15/2024,13:44,14,2.15,45.00,1,0.3,14.50,40.64,6280,18,3.8,45.00,5,0.65,23.50,40.64,2020,17,3.3,45.00,2,0.39,24.50,40.64,5027,18,3.8,45.00,5,0.65,28.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,17,13,45,1,1.4,34.00,14,259.08,6280,18,15,45,6,3.05,21.50,14,259.08,2020,16,11,45,2,1.66,31.00,14,259.08,5027,18,15,45,6,3.05,31.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
23,Male,22,,5/15/2024,14:56,7,0.78,65.50,3,0.49,39.50,40.64,6280,18,3.8,65.50,10,1.22,43.00,40.64,2020,12,1.63,65.50,5,0.65,44.00,40.64,5027,14,2.15,65.50,7,0.78,44.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,8,4.07,65.5,2,1.66,33.50,14,259.08,6280,17,13,65.5,10,5.17,31.00,14,259.08,2020,13,7.7,65.5,4,2.22,37.50,14,259.08,5027,14,9,65.5,7,3.32,36.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
24,Female,24,,5/17/2024,13:46,6,0.72,68.00,3,0.49,50.00,40.64,6280,11,1.44,68.00,11,1.44,65.00,40.64,2020,9,0.98,68.00,4,0.52,68.50,40.64,5027,10,1.22,68.00,7,0.78,65.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,8,4.07,68,4,2.22,54.00,14,259.08,6280,13,7.7,68,13,7.7,56.50,14,259.08,2020,10,5.17,68,8,4.07,68.00,14,259.08,5027,12,6.89,68,12,6.89,67.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
25,Female,19,,5/17/2024,14:36,11,1.44,52.00,2,0.39,33.50,40.64,6280,15,2.44,52.00,6,0.72,34.00,40.64,2020,13,1.90,52.00,3,0.49,44.50,40.64,5027,16,2.7,52.00,7,0.78,45.25,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,16,11,52,5,2.77,41.25,14,259.08,6280,18,15,52,10,5.17,36.00,14,259.08,2020,17,13,52,4,2.22,40.50,14,259.08,5027,15,10.34,52,7,3.32,42.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
26,Female,46,,5/17/2024,15:43,14,2.15,47.00,4,0.52,7.25,40.64,6280,18,3.8,47.00,8,0.96,9.00,40.64,2020,15,2.44,47.00,4,0.52,15.00,40.64,5027,17,3.3,47.00,6,0.72,15.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,12,6.89,47,2,1.66,10.25,14,259.08,6280,17,13,47,9,4.15,10.20,14,259.08,2020,14,9,47,1,1.4,10.00,14,259.08,5027,15,10.34,47,4,2.22,12.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
27,Male,21,,5/31/2024,13:46,12,1.63,63.00,1,0.3,15.50,40.64,6280,15,2.44,63.00,4,0.52,24.00,40.64,2020,13,1.90,63.00,2,0.39,38.00,40.64,5027,14,2.15,63.00,4,0.52,41.25,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,10,5.17,63,1,1.4,22.50,14,259.08,6280,16,11,63,8,4.07,30.00,14,259.08,2020,17,13,63,5,2.77,38.50,14,259.08,5027,17,13,63,7,3.32,40.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
28,Female,20,,5/31/2024,14:12,9,0.98,67.00,2,0.39,28.25,40.64,6280,15,2.44,67.00,9,0.98,36.50,40.64,2020,13,1.90,67.00,3,0.49,36.00,40.64,5027,14,2.15,67.00,7,0.78,46.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,8,4.07,67,3,2.08,42.00,14,259.08,6280,14,9,67,13,7.7,50.00,14,259.08,2020,11,6.1,67,7,3.32,54.25,14,259.08,5027,13,7.7,67,9,4.15,49.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
