ID,Measurement_Type,Reported_Visual_Angle,Task,Disparity_VA,Real_Visual_Angle,Ratio_Visual_Angle,Distance
3,Lamp4_Adjusted_VA,0.793313504,Adjusted,,0.6806,1.165609027,3421
3,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
3,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
3,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
3,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
3,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
3,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
3,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
3,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
3,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
3,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
3,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
3,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
3,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
3,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
3,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
3,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
4,Stick1_Perceptual_VA,5.103849615,Perceptual,,2.363,2.159902503,6280
4,Stick1_Adjusted_VA,2.550704602,Adjusted,,2.363,1.079434872,6280
4,Stick2_Perceptual_VA,8.872948971,Perceptual,,7.339,1.209013349,2020
4,Stick2_Adjusted_VA,8.107108464,Adjusted,,7.339,1.104661189,2020
4,Stick3_Perceptual_VA,5.103849615,Perceptual,,2.952,1.728946346,5027
4,Stick3_Adjusted_VA,3.196179111,Adjusted,,2.952,1.082716501,5027
4,Stick4_Perceptual_VA,6.798356216,Perceptual,,4.337,1.567525067,3421
4,Stick4_Adjusted_VA,5.333428013,Adjusted,,4.337,1.229750522,3421
4,Lamp1_Perceptual_VA,0.968078071,Perceptual,,0.3708,2.610782284,6280
4,Lamp1_Adjusted_VA,0.461916961,Adjusted,,0.3708,1.245730747,6280
4,Lamp2_Perceptual_VA,1.876762886,Perceptual,,1.1527,1.628145126,2020
4,Lamp2_Adjusted_VA,1.205142653,Adjusted,,1.1527,1.045495492,2020
4,Lamp3_Perceptual_VA,0.948322287,Perceptual,,0.4632,2.047327908,5027
4,Lamp3_Adjusted_VA,0.496898336,Adjusted,,0.4632,1.072751158,5027
4,Lamp4_Perceptual_VA,1.205142653,Perceptual,,0.6806,1.77070622,3421
4,Lamp4_Adjusted_VA,0.76393241,Adjusted,,0.6806,1.122439626,3421
4,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
4,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
4,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
4,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
4,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
4,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
4,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
4,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
4,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
4,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
4,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
4,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
4,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
4,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
4,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
4,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
5,Stick1_Perceptual_VA,8.271455735,Perceptual,,2.363,3.500404458,6280
5,Stick1_Adjusted_VA,4.009068064,Adjusted,,2.363,1.696600958,6280
5,Stick2_Perceptual_VA,8.79741071,Perceptual,,7.339,1.198720631,2020
5,Stick2_Adjusted_VA,8.72073154,Adjusted,,7.339,1.188272454,2020
5,Stick3_Perceptual_VA,7.202556234,Perceptual,,2.952,2.439890323,5027
5,Stick3_Adjusted_VA,3.273154083,Adjusted,,2.952,1.108792034,5027
5,Stick4_Perceptual_VA,8.79741071,Perceptual,,4.337,2.028455317,3421
5,Stick4_Adjusted_VA,7.204551677,Adjusted,,4.337,1.661183232,3421
5,Lamp1_Perceptual_VA,1.955078838,Perceptual,,0.3708,5.27259665,6280
5,Lamp1_Adjusted_VA,1.039290294,Adjusted,,0.3708,2.802832509,6280
5,Lamp2_Perceptual_VA,2.163359796,Perceptual,,1.1527,1.876776088,2020
5,Lamp2_Adjusted_VA,2.170948719,Adjusted,,1.1527,1.883359694,2020
5,Lamp3_Perceptual_VA,1.955078838,Perceptual,,0.4632,4.220809236,5027
5,Lamp3_Adjusted_VA,0.950844305,Adjusted,,0.4632,2.052772679,5027
5,Lamp4_Perceptual_VA,2.163359796,Perceptual,,0.6806,3.178606812,3421
5,Lamp4_Adjusted_VA,1.385690842,Adjusted,,0.6806,2.035984194,3421
5,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
5,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
5,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
5,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
5,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
5,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
5,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
5,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
5,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
5,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
5,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
5,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
5,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
5,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
5,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
5,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
6,Stick1_Perceptual_VA,7.164268847,Perceptual,,2.363,3.031853088,6280
6,Stick1_Adjusted_VA,2.678694909,Adjusted,,2.363,1.1335992,6280
6,Stick2_Perceptual_VA,9.610547548,Perceptual,,7.339,1.309517311,2020
6,Stick2_Adjusted_VA,9.354835718,Adjusted,,7.339,1.27467444,2020
6,Stick3_Perceptual_VA,8.36983225,Perceptual,,2.952,2.835309028,5027
6,Stick3_Adjusted_VA,2.751473113,Adjusted,,2.952,0.932070838,5027
6,Stick4_Perceptual_VA,9.610547548,Perceptual,,4.337,2.215943636,3421
6,Stick4_Adjusted_VA,6.072643785,Adjusted,,4.337,1.400194555,3421
6,Lamp1_Perceptual_VA,2.272900292,Perceptual,,0.3708,6.129720314,6280
6,Lamp1_Adjusted_VA,0.451418958,Adjusted,,0.3708,1.217418981,6280
6,Lamp2_Perceptual_VA,2.515020559,Perceptual,,1.1527,2.181851791,2020
6,Lamp2_Adjusted_VA,1.299250189,Adjusted,,1.1527,1.127136453,2020
6,Lamp3_Perceptual_VA,2.515020559,Perceptual,,0.4632,5.429664419,5027
6,Lamp3_Adjusted_VA,0.642101154,Adjusted,,0.4632,1.386228743,5027
6,Lamp4_Perceptual_VA,2.515020559,Perceptual,,0.6806,3.695299088,3421
6,Lamp4_Adjusted_VA,0.715042048,Adjusted,,0.6806,1.050605418,3421
6,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
6,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
6,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
6,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
6,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
6,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
6,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
6,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
6,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
6,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
6,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
6,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
6,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
6,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
6,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
6,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
7,Stick1_Perceptual_VA,3.797568441,Perceptual,,2.363,1.607096251,6280
7,Stick1_Adjusted_VA,2.590324392,Adjusted,,2.363,1.096201605,6280
7,Stick2_Perceptual_VA,11.17448793,Perceptual,,7.339,1.522617241,2020
7,Stick2_Adjusted_VA,7.586813707,Adjusted,,7.339,1.033766686,2020
7,Stick3_Perceptual_VA,5.066127676,Perceptual,,2.952,1.716167912,5027
7,Stick3_Adjusted_VA,3.459386862,Adjusted,,2.952,1.171879018,5027
7,Stick4_Perceptual_VA,6.432781616,Perceptual,,4.337,1.483233022,3421
7,Stick4_Adjusted_VA,5.017455162,Adjusted,,4.337,1.156895357,3421
7,Lamp1_Perceptual_VA,1.195694611,Perceptual,,0.3708,3.224634873,6280
7,Lamp1_Adjusted_VA,0.378733435,Adjusted,,0.3708,1.021395455,6280
7,Lamp2_Perceptual_VA,2.677467562,Perceptual,,1.1527,2.322779181,2020
7,Lamp2_Adjusted_VA,1.100045174,Adjusted,,1.1527,0.954320443,2020
7,Lamp3_Perceptual_VA,1.22060305,Perceptual,,0.4632,2.63515339,5027
7,Lamp3_Adjusted_VA,0.494709384,Adjusted,,0.4632,1.06802544,5027
7,Lamp4_Perceptual_VA,1.79346056,Perceptual,,0.6806,2.635116897,3421
7,Lamp4_Adjusted_VA,0.687541104,Adjusted,,0.6806,1.010198507,3421
7,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
7,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
7,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
7,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
7,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
7,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
7,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
7,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
7,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
7,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
7,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
7,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
7,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
7,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
7,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
7,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
8,Stick1_Perceptual_VA,4.784946556,Perceptual,,2.363,2.024945644,6280
8,Stick1_Adjusted_VA,2.264252752,Adjusted,,2.363,0.958211067,6280
8,Stick2_Perceptual_VA,10.1765204,Perceptual,,7.339,1.386635835,2020
8,Stick2_Adjusted_VA,6.880537436,Adjusted,,7.339,0.937530649,2020
8,Stick3_Perceptual_VA,6.037933447,Perceptual,,2.952,2.045370409,5027
8,Stick3_Adjusted_VA,2.445717623,Adjusted,,2.952,0.82849513,5027
8,Stick4_Perceptual_VA,8.102066082,Perceptual,,4.337,1.868126835,3421
8,Stick4_Adjusted_VA,4.162343863,Adjusted,,4.337,0.959728813,3421
8,Lamp1_Perceptual_VA,1.491175838,Perceptual,,0.3708,4.021509813,6280
8,Lamp1_Adjusted_VA,0.98218931,Adjusted,,0.3708,2.648838484,6280
8,Lamp2_Perceptual_VA,2.589642241,Perceptual,,1.1527,2.24658822,2020
8,Lamp2_Adjusted_VA,1.370539568,Adjusted,,1.1527,1.188982014,2020
8,Lamp3_Perceptual_VA,1.279290968,Perceptual,,0.4632,2.761854421,5027
8,Lamp3_Adjusted_VA,0.79097342,Adjusted,,0.4632,1.707628282,5027
8,Lamp4_Perceptual_VA,1.687356474,Perceptual,,0.6806,2.479219033,3421
8,Lamp4_Adjusted_VA,1.011682974,Adjusted,,0.6806,1.486457499,3421
8,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
8,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
8,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
8,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
8,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
8,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
8,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
8,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
8,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
8,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
8,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
8,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
8,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
8,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
8,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
8,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
9,Stick1_Perceptual_VA,3.067606783,Perceptual,,2.363,1.29818315,6280
9,Stick1_Adjusted_VA,2.422432046,Adjusted,,2.363,1.025151099,6280
9,Stick2_Perceptual_VA,9.776801896,Perceptual,,7.339,1.332170854,2020
9,Stick2_Adjusted_VA,8.021452995,Adjusted,,7.339,1.092989916,2020
9,Stick3_Perceptual_VA,6.777113981,Perceptual,,2.952,2.295770319,5027
9,Stick3_Adjusted_VA,3.139871513,Adjusted,,2.952,1.063642111,5027
9,Stick4_Perceptual_VA,7.78325049,Perceptual,,4.337,1.794616207,3421
9,Stick4_Adjusted_VA,6.952466243,Adjusted,,4.337,1.603058852,3421
9,Lamp1_Perceptual_VA,0.723726539,Perceptual,,0.3708,1.951797571,6280
9,Lamp1_Adjusted_VA,0.809600805,Adjusted,,0.3708,2.183389441,6280
9,Lamp2_Perceptual_VA,1.839338099,Perceptual,,1.1527,1.595678059,2020
9,Lamp2_Adjusted_VA,1.48716865,Adjusted,,1.1527,1.290161056,2020
9,Lamp3_Perceptual_VA,0.738803762,Perceptual,,0.4632,1.594999486,5027
9,Lamp3_Adjusted_VA,0.726668439,Adjusted,,0.4632,1.568800601,5027
9,Lamp4_Perceptual_VA,1.085571767,Perceptual,,0.6806,1.595021697,3421
