Study,Task,modelName,FitName,FormulaStr,DistanceMode,DistanceGroupVariable,Intercept,IciL,IciU,Ip,VAe,VAciL,VAciU,VAp,De,DciL,DciU,Dp,Ee,EciL,EciU,Ep,AIC,BIC,LogLikelihood,Dmoon_m,DmoonMean_m,DmoonMedian_m,DmoonMin_m,DmoonMax_m,DmoonSD_m,DmoonNGroups,Dmoon_log2_m,MaxQuadDistance_m,DmoonLowerBound_m,MinimumDistanceFactor,StartDmoon_m,StartDmoonMedian_m,NegLogLikelihoodObjective,OptimizerExitFlag,OptimizerIterations,OptimizerFuncCount,PredictionColumn,Iteration,TransformID,TransformLabel
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I1,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.21483333481126,1.08171345227355,1.34795321734896,5.65606825893323e-62,-0.128291098319942,-0.153377021166313,-0.103205175473571,1.36656668280954e-22,0.0301649537193526,0.0222396026179384,0.0380903048207667,1.83145869957988e-13,-0.217611550701583,-0.254523057918575,-0.180700043484592,4.80243725071196e-29,1373.92293725224,1403.04906426577,-680.961468626122,1278432785.58442,1278432785.58442,447467946.966984,1416744.21469629,10032050146.9782,2778372026.22905,12,30.2517291659517,151.907293145392,1519.07293145392,10,372297500,372385500,680.961468626122,0,25,42,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,1,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I2,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.23540686634809,1.1094752270216,1.36133850567459,5.28600786253973e-70,-0.127379518001846,-0.152566200911252,-0.102192835092441,3.70549397049556e-22,0.0348752034906989,0.0273152115370194,0.0424351954443783,7.69670584146492e-19,-0.203158839027277,-0.239515429873093,-0.166802248181461,1.97081073255602e-26,1383.9533223336,1413.12359037649,-685.976661166802,741092211.984751,741092211.984751,351577969.020302,2791378.13561982,2636780261.01505,798613718.892072,13,29.4650778232174,151.907293145392,1519.07293145392,10,374768461.538462,374538000,685.976661166802,0,25,44,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,2,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I3,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.19415561521598,1.06485224923841,1.32345898119355,3.27786786398826e-63,-0.13491063208279,-0.160993560092153,-0.108827704073427,4.79456046745889e-23,0.0268371386497895,0.0188387171007418,0.0348355601988372,7.56143223698868e-11,-0.181293866244516,-0.219297762750437,-0.143289969738596,5.58851609700326e-20,1403.79680673292,1432.91026214723,-695.898403366458,745186599.543022,745186599.543022,451858483.035829,4024545.03241227,2238582937.96074,742088395.263468,12,29.4730264900791,151.907293145392,1519.07293145392,10,375146416.666667,376841000,695.898403366458,0,25,43,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,3,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I4,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.15957548562143,1.03065803897273,1.28849293227013,1.79458649520475e-60,-0.133546239029804,-0.158661990472193,-0.108430487587415,3.36265659755959e-24,0.0367582384852551,0.0290215358910358,0.0444949410794744,7.73342302313619e-20,-0.201199093932584,-0.238478004492636,-0.163920183372532,7.58892015612674e-25,1376.8299848409,1405.94977940002,-682.41499242045,1487846748.25364,1487846748.25364,424307828.82923,8976644.34006407,6738569937.24482,2286278491.08711,11,30.4705787870715,151.907293145392,1519.07293145392,10,375201727.272727,379144000,682.41499242045,0,25,41,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,4,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I5,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.22914475824162,1.09706504347544,1.3612244730078,3.48596808016135e-64,-0.128607213387999,-0.153649960377451,-0.103564466398547,8.93872692020008e-23,0.0343569273032879,0.0261585658895098,0.0425552887170659,6.35366412733663e-16,-0.216484434347468,-0.253190928991593,-0.179777939703344,4.30480390312768e-29,1394.38417045084,1423.61071821851,-691.192085225421,1124068601.49056,1124068601.49056,382289050.372973,12648413.3593792,5689347852.97285,1658860671.32488,12,30.0660829393761,151.907293145392,1519.07293145392,10,374787666.666667,374688500,691.192085225421,0,25,42,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,5,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I6,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.15915163807856,1.02823158640005,1.29007168975707,6.88101043270819e-59,-0.132781073928197,-0.158567330401347,-0.106994817455047,7.24351947438402e-23,0.0318863548357301,0.0241821366825435,0.0395905729889167,1.42279427632941e-15,-0.182306574811023,-0.219735314801547,-0.1448778348205,9.96516051096742e-21,1393.212668904,1422.33879591753,-690.606334452,852588512.937555,852588512.937555,319335360.389506,29274855.1055984,3708945911.60396,1194000479.7479,13,29.6672743768689,151.907293145392,1519.07293145392,10,374768461.538462,374538000,690.606334452,0,25,43,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,6,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I7,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.11215709633182,0.983758870227627,1.24055532243601,9.89078227563426e-57,-0.131308185010883,-0.157235678292842,-0.105380691728923,3.33024126223723e-22,0.0321425598675134,0.0240747252927371,0.0402103944422898,1.42460826245756e-14,-0.170665314084523,-0.207683968606949,-0.133646659562098,8.1764324315439e-19,1383.50979661237,1412.62959117148,-685.754898306183,1103804921.98406,1103804921.98406,537179511.063252,7899317.95182371,4339995435.88398,1395391684.86048,12,30.0398380777742,151.907293145392,1519.07293145392,10,372297500,372385500,685.754898306183,0,25,42,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,7,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I8,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.22331585836848,1.08688693210706,1.35974478462989,3.1701965973533e-60,-0.125970326959868,-0.151206628421877,-0.100734025497859,1.1871668619062e-21,0.0290039181950061,0.0202143587386934,0.0377934776513188,1.50947927858095e-10,-0.192400310776852,-0.228927329043253,-0.15587329251045,8.2431466621772e-24,1372.06967049593,1401.24621797424,-680.034835247965,1050728184.12931,1050728184.12931,680584991.631193,1810868.59122695,2709419386.11482,1019195493.20554,11,29.9687423566573,151.907293145392,1519.07293145392,10,375345636.363636,374538000,680.034835247965,0,25,41,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,8,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I9,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.22616761438155,1.09627819246493,1.35605703629816,1.14219861784347e-65,-0.114056020350514,-0.139563970946632,-0.0885480697543967,7.79175475851901e-18,0.0336863010876089,0.0257679113687438,0.0416046908064739,2.41408180947984e-16,-0.20941044198118,-0.246922297791108,-0.171898586171251,2.18108950419133e-26,1412.0242067802,1441.20075425851,-700.0121033901,1126432642.99465,1126432642.99465,421790817.473658,12861589.547898,5630095723.68235,1619174845.04567,12,30.0691139016715,151.907293145392,1519.07293145392,10,374333166.666667,372385500,700.0121033901,0,25,42,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,9,2,absElevation
combined_training,Perceptual,latentDmoon_logPM_by_logAngleNDistanceNElevation,combined_training_latentDmoon_absElevation_I10,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),byDate,Date,1.11089084499291,0.995121667406058,1.22666002257975,1.65899024384649e-67,-0.125435287249405,-0.151086047544906,-0.0997845269539043,6.98564589704795e-21,0.0310868381729992,0.0239687003289814,0.0382049760170171,4.10204511176306e-17,-0.17078968317143,-0.206751897328846,-0.134827469014014,7.84408562865715e-20,1363.37165516134,1392.56074182916,-675.685827580668,766224142.844526,766224142.844526,474772195.792629,4120543.74676319,3449333915.2675,900385019.023016,13,29.513191243244,151.907293145392,1519.07293145392,10,374768461.538462,374538000,675.685827580668,0,25,42,predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation,10,2,absElevation
