DmoonGroup,Dmoon_m,StartDmoon_m,DmoonLowerBound_m,Dmoon_km,Dmoon_log2_m,Iteration,TransformID,TransformLabel
05/22/2024,733589573.861788,395236000,1519.07293145392,733589.573861788,29.4503978938814,1,2,absElevation
07/20/2024,534603471.384631,374538000,1519.07293145392,534603.471384631,28.9938939646805,1,2,absElevation
07/21/2024,130920309.29001,370233000,1519.07293145392,130920.30929001,26.9641136748637,1,2,absElevation
08/19/2024,1416744.21469629,363196000,1519.07293145392,1416.74421469629,20.4341478805092,1,2,absElevation
08/20/2024,232090422.634414,360805000,1519.07293145392,232090.422634414,27.7901117492396,1,2,absElevation
10/16/2024,10032050146.9782,357488000,1519.07293145392,10032050.1469782,33.2238974137107,1,2,absElevation
10/17/2024,622731993.785997,357252000,1519.07293145392,622731.993785997,29.21403616083,1,2,absElevation
11/15/2024,360332422.549337,361929000,1519.07293145392,360332.422549337,28.4247532297552,1,2,absElevation
01/12/2025,337992984.312746,379144000,1519.07293145392,337992.984312746,28.3324180600376,1,2,absElevation
01/13/2025,1304285563.47876,381133000,1519.07293145392,1304285.56347876,30.2806126253277,1,2,absElevation
08/07/2025,752559036.304218,386624000,1519.07293145392,752559.036304218,29.4872295210942,1,2,absElevation
08/09/2025,298620758.218224,379992000,1519.07293145392,298620.758218224,28.1537392150522,1,2,absElevation
05/22/2024,2636780261.01505,395236000,1519.07293145392,2636780.26101505,31.2961302016192,2,2,absElevation
07/20/2024,351577969.020302,374538000,1519.07293145392,351577.969020302,28.3892694286104,2,2,absElevation
07/21/2024,51466168.3417948,370233000,1519.07293145392,51466.1683417948,25.617121042053,2,2,absElevation
08/19/2024,882734129.391773,363196000,1519.07293145392,882734.129391773,29.7174037372151,2,2,absElevation
08/20/2024,1099266412.71341,360805000,1519.07293145392,1099266.41271341,30.0338939270085,2,2,absElevation
10/16/2024,1804667843.41742,357488000,1519.07293145392,1804667.84341742,30.7490861815413,2,2,absElevation
10/17/2024,2791378.13561982,357252000,1519.07293145392,2791.37813561982,21.4125461424674,2,2,absElevation
11/15/2024,222248184.856438,361929000,1519.07293145392,222248.184856438,27.7275963954349,2,2,absElevation
01/12/2025,421053270.124918,379144000,1519.07293145392,421053.270124918,28.6494275284554,2,2,absElevation
01/13/2025,256736833.675525,381133000,1519.07293145392,256736.833675525,27.9357150513071,2,2,absElevation
05/13/2025,243060720.068766,404420000,1519.07293145392,243060.720068766,27.8567415239556,2,2,absElevation
08/07/2025,1438131885.47693,386624000,1519.07293145392,1438131.88547693,30.4215488397765,2,2,absElevation
08/09/2025,223683699.563826,379992000,1519.07293145392,223683.699563826,27.7368848862368,2,2,absElevation
05/22/2024,1250090592.83411,395236000,1519.07293145392,1250090.59283411,30.2193855033509,3,2,absElevation
07/20/2024,35614514.9206754,374538000,1519.07293145392,35614.5149206754,25.0859620047363,3,2,absElevation
08/19/2024,1513139355.59571,363196000,1519.07293145392,1513139.35559571,30.4948977155453,3,2,absElevation
08/20/2024,253273279.495333,360805000,1519.07293145392,253273.279495333,27.9161196388615,3,2,absElevation
10/16/2024,2238582937.96074,357488000,1519.07293145392,2238582.93796074,31.0599386240785,3,2,absElevation
10/17/2024,4024545.03241227,357252000,1519.07293145392,4024.54503241227,21.9403942676862,3,2,absElevation
11/15/2024,89416331.3564323,361929000,1519.07293145392,89416.3313564323,26.4140350192795,3,2,absElevation
01/12/2025,210785201.587962,379144000,1519.07293145392,210785.201587962,27.6511983436021,3,2,absElevation
01/13/2025,228057273.480416,381133000,1519.07293145392,228057.273480416,27.7648209422163,3,2,absElevation
05/13/2025,1563991319.39968,404420000,1519.07293145392,1563991.31939968,30.5425853592826,3,2,absElevation
08/07/2025,904820156.276479,386624000,1519.07293145392,904820.156276479,29.7530558270608,3,2,absElevation
08/09/2025,650443686.576324,379992000,1519.07293145392,650443.686576324,29.2768489173273,3,2,absElevation
05/22/2024,5130845570.84069,395236000,1519.07293145392,5130845.57084069,32.2565494576612,4,2,absElevation
08/19/2024,968903472.163586,363196000,1519.07293145392,968903.472163586,29.851777702172,4,2,absElevation
