Study,Task,modelName,FormulaStr,Intercept,IciL,IciU,Ip,VAe,VAciL,VAciU,VAp,De,DciL,DciU,Dp,Ee,EciL,EciU,Ep,AIC,BIC,RsqAdj
MatchingProcessedData0421,Adjusted,logPM_by_logAngle,log2ratio_visual_angle ~ 1 + log2real_visual_angle + (1 | ID),0.214033282895655,0.167454585986716,0.260611979804595,8.7019088842966e-19,-0.115473498216227,-0.12848646755411,-0.102460528878344,5.17820569018044e-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,411.142309489506,431.073760495382,0.587298216789778
MatchingProcessedData0421,Adjusted,logPM_by_logDistance,log2ratio_visual_angle ~ 1 + log2distance + (1 | ID),0.0544174902064261,-0.0557423669841049,0.164577347396957,0.332620237595707,NaN,NaN,NaN,NaN,0.0283773970569905,0.00960898404887566,0.0471458100651053,0.00307610290372003,NaN,NaN,NaN,NaN,663.540927532075,683.472378537951,0.431498752786146
MatchingProcessedData0421,Adjusted,logPM_by_logElevation,log2ratio_visual_angle ~ 1 + log2elevation + (1 | ID),0.163334639745829,0.0941890590852751,0.232480220406383,4.0063537744551e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0205043056024962,-0.00473528096721833,0.0457438921722107,0.111220344033947,669.814492712284,689.74594371816,0.423725643964114
MatchingProcessedData0421,Adjusted,logPM_by_logAngleNDistance,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + (1 | ID),0.26566309909257,0.164042455823258,0.367283742361881,3.44217064781568e-07,-0.117467237037374,-0.130927481086354,-0.104006992988395,2.6084120240657e-58,-0.00965252043395628,-0.0265336127649705,0.00722857189705798,0.262129822870595,NaN,NaN,NaN,NaN,411.884806538976,436.799120296321,0.587662765736242
MatchingProcessedData0421,Adjusted,logPM_by_logAngleNElevation,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2elevation + (1 | ID),0.0518906174299905,-0.012253439619755,0.116034674479736,0.112729901924277,-0.128805467518978,-0.142158294412011,-0.115452640625945,3.49598213667811e-69,NaN,NaN,NaN,NaN,0.0788200382023501,0.0563150245724214,0.101325051832279,1.06912754833984e-11,367.187395741905,392.10170949925,0.60191666050615
MatchingProcessedData0421,Adjusted,logPM_by_logDistanceNElevation,log2ratio_visual_angle ~ 1 + log2distance + log2elevation + (1 | ID),-0.610816385248167,-0.840946326650028,-0.380686443846306,2.28600614392033e-07,NaN,NaN,NaN,NaN,0.103084329649304,0.0736329992238626,0.132535660074745,1.1001908087245e-11,0.12869669752974,0.0893910195355219,0.168002375523957,1.98167985699227e-10,626.203534062412,651.117847819757,0.44202705545552
MatchingProcessedData0421,Adjusted,logPM_by_logAngleNDistanceNElevation,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),-0.58204378410268,-0.781200918030221,-0.382886650175139,1.27022687996734e-08,-0.126334298079419,-0.139516776881234,-0.113151819277604,2.0520687864468e-68,0.0845773940813666,0.0592528710275063,0.109901917135227,8.72549812376043e-11,0.167043265729986,0.132779230050068,0.201307301409904,7.32764437450075e-21,327.492763684541,357.389940193354,0.61315166131712
