ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study
1019,0.537927917,370233000,17,Perceptual,1.48650981,2.763399633,MoonStudy
1019,0.537927917,370233000,17,Adjusted,0.871147116,1.619449536,MoonStudy
1020,0.537927917,370233000,12,Perceptual,1.279290968,2.378182887,MoonStudy
1020,0.537927917,370233000,12,Adjusted,0.792375811,1.473014851,MoonStudy
1020,0.537927917,370233000,20,Perceptual,1.044349851,1.941430844,MoonStudy
1020,0.537927917,370233000,20,Adjusted,0.866082501,1.610034492,MoonStudy
1021,0.548350228,363196000,9,Perceptual,1.441804455,2.629349605,MoonStudy
1021,0.548350228,363196000,9,Adjusted,0.977824236,1.783211142,MoonStudy
1021,0.548350228,363196000,20,Perceptual,1.441804455,2.629349605,MoonStudy
1021,0.548350228,363196000,20,Adjusted,0.973497789,1.775321208,MoonStudy
1022,0.548350228,363196000,10,Perceptual,3.227077866,5.885067063,MoonStudy
1022,0.548350228,363196000,10,Adjusted,1.145877395,2.089681625,MoonStudy
1022,0.548350228,363196000,20,Perceptual,2.035293909,3.711667845,MoonStudy
1022,0.548350228,363196000,20,Adjusted,1.205142653,2.197760831,MoonStudy
1023,0.548350228,363196000,11,Perceptual,1.653387617,3.015203664,MoonStudy
1023,0.548350228,363196000,11,Adjusted,1.011682974,1.844957698,MoonStudy
1023,0.548350228,363196000,23,Perceptual,1.315324211,2.398693653,MoonStudy
1023,0.548350228,363196000,23,Adjusted,0.948322287,1.729409853,MoonStudy
53,0.548350228,363196000,13,Perceptual,0.802127812,1.462802003,MoonStudy
53,0.548350228,363196000,13,Adjusted,1.306501348,2.382603821,MoonStudy
53,0.548350228,363196000,23.5,Perceptual,0.639574153,1.166360695,MoonStudy
53,0.548350228,363196000,23.5,Adjusted,1.231685623,2.246165972,MoonStudy
1025,0.551984006,360805000,4,Perceptual,1.149869732,2.0831577,MoonStudy
1025,0.551984006,360805000,4,Adjusted,1.145877395,2.075924997,MoonStudy
1025,0.551984006,360805000,16,Perceptual,0.662077196,1.199449964,MoonStudy
1025,0.551984006,360805000,16,Adjusted,0.936891242,1.697315922,MoonStudy
1026,0.551984006,360805000,5,Perceptual,2.090289812,3.78686663,MoonStudy
1026,0.551984006,360805000,5,Adjusted,1.220929361,2.211892642,MoonStudy
1026,0.551984006,360805000,17,Perceptual,1.319480846,2.390433115,MoonStudy
1026,0.551984006,360805000,17,Adjusted,1.128603987,2.044631684,MoonStudy
