ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Size,Study
1000,0.503898546412973,395236000,12,Perceptual,3.00384656121308,5.96121299137714,3476000,MoonStudy
1000,0.503898546412973,395236000,25,Perceptual,2.56594451159336,5.09218478572554,3476000,MoonStudy
1001,0.503898546412973,395236000,13,Perceptual,2.76768475472488,5.49254363686258,3476000,MoonStudy
1001,0.503898546412973,395236000,21,Perceptual,2.14276119520801,4.25236629567868,3476000,MoonStudy
1002,0.503898546412973,395236000,14,Perceptual,1.02087960763189,2.02596259683437,3476000,MoonStudy
1002,0.503898546412973,395236000,24,Perceptual,0.92441605306587,1.83452812008761,3476000,MoonStudy
1003,0.503898546412973,395236000,16,Perceptual,1.58281662878821,3.14114148583196,3476000,MoonStudy
1003,0.503898546412973,395236000,21,Perceptual,1.90968250774438,3.7898154724568,3476000,MoonStudy
1004,0.503898546412973,395236000,16,Perceptual,1.92657918245142,3.82334737054883,3476000,MoonStudy
1004,0.503898546412973,395236000,22,Perceptual,1.42647429247901,2.83087598214648,3476000,MoonStudy
1005,0.503898546412973,395236000,16,Perceptual,2.13430181664235,4.23557843505499,3476000,MoonStudy
1005,0.503898546412973,395236000,24,Perceptual,1.27087245618219,2.5220800203314,3476000,MoonStudy
1006,0.503898546412973,395236000,17,Perceptual,1.85390391059879,3.67912137035499,3476000,MoonStudy
1006,0.503898546412973,395236000,23,Perceptual,0.92143803714611,1.82861816868775,3476000,MoonStudy
1007,0.503898546412973,395236000,17.5,Perceptual,1.69791428859007,3.36955583753269,3476000,MoonStudy
1007,0.503898546412973,395236000,22.5,Perceptual,1.18975896599639,2.3611081525552,3476000,MoonStudy
1008,0.503898546412973,395236000,18,Perceptual,1.13656193244754,2.25553723172693,3476000,MoonStudy
1008,0.503898546412973,395236000,23,Perceptual,0.928076631804784,1.8417926354647,3476000,MoonStudy
1009,0.503898546412973,395236000,18,Perceptual,2.16090041902653,4.28836406536397,3476000,MoonStudy
