ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study
1073,0.557473599616555,357252000,20,Perceptual,1.83253704985183,3.28721763884837,MoonStudy
1073,0.557473599616555,357252000,35,Perceptual,0.957523618089764,1.71761249097423,MoonStudy
1074,0.557473599616555,357252000,20,Perceptual,2.01923238978901,3.62211303132182,MoonStudy
1074,0.557473599616555,357252000,44,Perceptual,0.674568932661517,1.21004641856673,MoonStudy
52,0.557473599616555,357252000,21,Perceptual,0.580205467256331,1.04077658144782,MoonStudy
52,0.557473599616555,357252000,46,Perceptual,0.584187200727894,1.04791904249764,MoonStudy
1076,0.557473599616555,357252000,21,Perceptual,1.08603835085711,1.94814310777069,MoonStudy
1077,0.557473599616555,357252000,21,Perceptual,1.90578591584785,3.41861196146095,MoonStudy
1077,0.557473599616555,357252000,43,Perceptual,0.919728289724227,1.64981496945656,MoonStudy
1078,0.557473599616555,357252000,22,Perceptual,0.739902101826902,1.32724150943798,MoonStudy
1078,0.557473599616555,357252000,44,Perceptual,0.729634352133488,1.30882314899818,MoonStudy
1079,0.557473599616555,357252000,22,Perceptual,1.09903628470716,1.97145889144007,MoonStudy
1079,0.557473599616555,357252000,43,Perceptual,0.670772196376542,1.20323580675016,MoonStudy
1080,0.557473599616555,357252000,23,Perceptual,1.28725434122201,2.30908574344582,MoonStudy
1080,0.557473599616555,357252000,43,Perceptual,0.75115798905909,1.3474323978315,MoonStudy
54,0.557473599616555,357252000,23,Perceptual,0.81245238826416,1.45738271520478,MoonStudy
54,0.557473599616555,357252000,44,Perceptual,0.964126918680438,1.72945753726022,MoonStudy
1082,0.557473599616555,357252000,24,Perceptual,1.17275112953019,2.10368909009654,MoonStudy
1082,0.557473599616555,357252000,45,Perceptual,0.838042729434726,1.50328684624914,MoonStudy
32131,0.55026980085631,361929000,4,Perceptual,1.51188422710866,2.74753261900966,MoonStudy
32131,0.55026980085631,361929000,23,Perceptual,0.677124058646317,1.23053101877043,MoonStudy
31948,0.55026980085631,361929000,5,Perceptual,1.60080734471083,2.90913174268279,MoonStudy
1083,0.55026980085631,361929000,5,Perceptual,1.47102704255262,2.673283251713,MoonStudy
32002,0.55026980085631,361929000,5,Perceptual,0.913717249345349,1.66048954153663,MoonStudy
32245,0.55026980085631,361929000,6,Perceptual,0.732624575536509,1.3313915726366,MoonStudy
32245,0.55026980085631,361929000,23,Perceptual,0.634654453103939,1.15335141437221,MoonStudy
31924,0.55026980085631,361929000,6,Perceptual,1.75966061702245,3.19781426181144,MoonStudy
31924,0.55026980085631,361929000,24,Perceptual,1.21283939314558,2.20408132748373,MoonStudy
1084,0.55026980085631,361929000,6,Perceptual,1.36366987990534,2.47818411583418,MoonStudy
1084,0.55026980085631,361929000,25,Perceptual,1.4149602132169,2.57139354370345,MoonStudy
31504,0.55026980085631,361929000,7,Perceptual,1.11843299459047,2.03251749023844,MoonStudy
31504,0.55026980085631,361929000,23,Perceptual,0.52218576837107,0.948963158724072,MoonStudy
1085,0.55026980085631,361929000,7,Perceptual,1.71523019789084,3.11707128979577,MoonStudy
1066,0.55026980085631,361929000,9,Perceptual,1.77231803439102,3.22081646427445,MoonStudy
1066,0.55026980085631,361929000,24,Perceptual,1.4149602132169,2.57139354370345,MoonStudy
1072,0.55026980085631,361929000,10,Perceptual,0.912986598751953,1.6591617372627,MoonStudy
1072,0.55026980085631,361929000,22,Perceptual,1.0279261189529,1.86804021836793,MoonStudy
1056,0.55026980085631,361929000,11,Perceptual,0.738803762095228,1.34262094875192,MoonStudy
1056,0.55026980085631,361929000,24,Perceptual,0.710748656770106,1.29163667652498,MoonStudy
1087,0.55026980085631,361929000,13,Perceptual,1.98667070455893,3.61035750365975,MoonStudy
1087,0.55026980085631,361929000,NaN,Perceptual,1.48233192547313,2.69382750637302,MoonStudy
1088,0.55026980085631,361929000,14,Perceptual,2.14833999674524,3.90415754853723,MoonStudy
