Study,Task,modelName,FormulaStr,Intercept,IciL,IciU,Ip,VAe,VAciL,VAciU,VAp,De,DciL,DciU,Dp,Ee,EciL,EciU,Ep,AIC,BIC,RsqAdj
combined_quad_moon,perceptual,logPM_by_logAngle,log2ratio_visual_angle ~ 1 + log2real_visual_angle + (1 | ID),1.03701705645093,0.979450189991653,1.09458392291021,4.14189515270048e-196,-0.173343819530913,-0.196801306704729,-0.149886332357097,1.78940721304368e-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2274.57998639069,2295.5654587111,0.520156979300502
combined_quad_moon,perceptual,logPM_by_logDistance,log2ratio_visual_angle ~ 1 + log2distance + (1 | ID),0.845342460088082,0.760640818927812,0.930044101248353,1.22939369195032e-75,NaN,NaN,NaN,NaN,0.0167697939151696,0.012452194367362,0.0210873934629771,4.67652252316022e-14,NaN,NaN,NaN,NaN,2411.38026750328,2432.36573982369,0.438816053430671
combined_quad_moon,perceptual,logPM_by_logElevation,log2ratio_visual_angle ~ 1 + log2elevation + (1 | ID),1.51117915662189,1.40230423640601,1.62005407683776,2.61750186584473e-131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.139872311158878,-0.169476003415095,-0.110268618902661,6.91568365972714e-20,2394.32198003528,2415.29603193394,0.495679673399533
combined_quad_moon,perceptual,logPM_by_logAngleNDistance,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + (1 | ID),0.898631365186316,0.812943663818518,0.984319066554114,2.21810042623372e-82,-0.159377346949403,-0.183545278839307,-0.135209415059499,3.06023210703168e-36,0.00957497718887614,0.00516993132733941,0.0139800230504129,2.14310921091503e-05,NaN,NaN,NaN,NaN,2258.52077923158,2284.75261963209,0.527863523758763
combined_quad_moon,perceptual,logPM_by_logAngleNElevation,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2elevation + (1 | ID),1.41311314816018,1.30998050623606,1.5162457900843,1.35184595442448e-128,-0.165850372750396,-0.188389071922738,-0.143311673578053,3.97193914975473e-44,NaN,NaN,NaN,NaN,-0.12572608840596,-0.15344926409254,-0.0980029127193797,1.75002645071788e-18,2202.17993744286,2228.39750231619,0.575765161498571
combined_quad_moon,perceptual,logPM_by_logDistanceNElevation,log2ratio_visual_angle ~ 1 + log2distance + log2elevation + (1 | ID),1.27316697156616,1.16942125204504,1.37691269108727,2.17271902477684e-107,NaN,NaN,NaN,NaN,0.0364264268244252,0.0315372158212705,0.0413156378275799,4.04100694333493e-45,-0.246652430165229,-0.278113867390957,-0.215190992939502,2.00608584441453e-49,2198.49668245182,2224.71424732515,0.562630599133686
combined_quad_moon,perceptual,logPM_by_logAngleNDistanceNElevation,log2ratio_visual_angle ~ 1 + log2real_visual_angle + log2distance + log2elevation + (1 | ID),1.25553378599904,1.15310208691065,1.35796548508742,3.64928719475236e-107,-0.124524536914585,-0.147522833492124,-0.101526240337047,2.14509375166843e-25,0.0276341239497187,0.0225927774669139,0.0326754704325235,5.7925111943121e-26,-0.21000267744317,-0.24088289207653,-0.179122462809809,2.68514129875896e-38,2093.18161067936,2124.64268852735,0.610086689490711
