ID Number,Gender,Age,Date,Moon Diameter (km),Moon Distance (km),Time,Round 1 Estimate Template Number,Round 1 Estimate Template Size (cm),Round 1 Estimate Distance (cm),Round 1 Final Moon,Round 1 Adjusted Template Size (cm),Round 1 Adjusted Distance (cm),Elevation (deg),Round 1 Caliper Aperture (cm),Round 1 Caliper Distance (cm),Round 2 Estimate Template Number,Round 2 Estimate Template Size (cm),Round 2 Estimate Distance (cm),Round 2 Final Moon,Round 2 Adjusted Template Size (cm),Round 2 Adjusted Distance (cm),Time,Elevation (deg) ,Round 2 Caliper Aperture (cm),Round 2 Caliper Distance (cm)
1027,Male,33,8/20/2024,3476,360805,9:20:00 PM,12,1.63,51.00,8,0.96,46.00,5.00,,,8,0.96,61.00,8,0.96,45.50,10:24:00 PM,17.50,,
1028,Male,55,8/20/2024,3476,360805,9:26:00 PM,18,3.80,62.00,16,2.70,50.65,6.00,,,18,3.80,87.50,10,1.22,47.00,10:32:00 PM,19.00,,
1029,Male,32,8/20/2024,3476,360805,9:30:00 PM,12,1.63,77.00,10,1.22,55.50,7.00,,,13,1.90,61.00,9,0.98,56.00,10:29:00 PM,18.50,,
1030,Male,24,8/20/2024,3476,360805,9:35:00 PM,11,1.44,46.00,9,0.98,51.50,8.00,,,7,0.78,62.50,6,0.72,49.50,10:26:00 PM,18.00,,
1031,Female,23,8/20/2024,3476,360805,9:40:00 PM,13,1.90,65.10,10,1.22,54.50,9.00,,,11,1.44,61.50,9,0.98,50.40,10:35:00 PM,19.00,,
1032,Male,16,8/19/2024,3476,363196,10:11:00 PM,16,2.70,53.50,10,1.22,50.50,14.00,,,12,1.63,46.25,7,0.78,46.25,11:25:00 PM,25.00,,
1033,Male,49,8/19/2024,3476,363196,10:17:00 PM,11,1.44,51.75,9,0.98,56.00,15.00,,,10,1.22,59.00,8,0.96,53.00,11:45:00 PM,27.00,,
1034,Female,19,8/19/2024,3476,363196,10:18:00 PM,13,1.90,57.50,7,0.78,30.00,15.00,,,11,1.44,47.50,7,0.78,27.00,11:28:00 PM,25.00,,
1035,Female,51,8/19/2024,3476,363196,10:20:00 PM,13,1.90,53.50,13,1.90,41.00,15.00,,,14,2.15,55.00,14,2.15,38.00,11:43:00 PM,27.00,,
1036,Female,23,10/16/2024,3476,357488,7:30:00 PM,14,2.15,48.00,9,0.98,60.50,16.00,,,8,0.96,70.00,8,0.96,54.00,9:32:00 PM,39.00,,
