"ID","Session","Task","Altitude","Disparity_VA","Reported_Visual_Angle","Real_Visual_Angle","Ratio_Visual_Angle","Distance","Date"
"1029","Lower","Adjusted",7,NA,1.25942408093362,0.5518,2.2823923177485,360803.6594,"Aug 20"
"1029","Higher","Perceptual",18.5,NA,1.78447837938828,0.5518,3.2339223983115,360803.6594,"Aug 20"
"1029","Higher","Adjusted",18.5,NA,1.00265055352368,0.5518,1.81705428329772,360803.6594,"Aug 20"
"1030","Lower","Perceptual",8,NA,1.79346056011619,0.5518,3.25020036266073,360803.6594,"Aug 20"
"1030","Lower","Adjusted",8,NA,1.09025572149383,0.5518,1.97581682039476,360803.6594,"Aug 20"
"1030","Higher","Perceptual",18,NA,0.715042047745884,0.5518,1.29583553415347,360803.6594,"Aug 20"
"1030","Higher","Adjusted",18,NA,0.833378463587148,0.5518,1.51029080026667,360803.6594,"Aug 20"
"1031","Lower","Perceptual",9,NA,1.6721083646812,0.5518,3.0302797475194,360803.6594,"Aug 20"
"1031","Lower","Adjusted",9,NA,1.28253086728732,0.5518,2.32426761016187,360803.6594,"Aug 20"
"1031","Higher","Perceptual",19,NA,1.3414984285074,0.5518,2.43113162107177,360803.6594,"Aug 20"
"1031","Higher","Adjusted",19,NA,1.11404950194566,0.5518,2.01893711842272,360803.6594,"Aug 20"
"1032","Lower","Perceptual",14,NA,2.89094921726655,0.5518,5.2391250765976,360803.6594,"Aug 20"
"1032","Lower","Adjusted",14,NA,1.38410795292895,0.5518,2.50835076645333,360803.6594,"Aug 20"
"1032","Higher","Perceptual",25,NA,2.01908012219808,0.5518,3.65907959803929,360803.6594,"Aug 20"
"1032","Higher","Adjusted",25,NA,0.966262676918327,0.5518,1.75111032424488,360803.6594,"Aug 20"
"1033","Lower","Perceptual",15,NA,1.59421448277288,0.5518,2.88911649650758,360803.6594,"Aug 20"
"1033","Lower","Adjusted",15,NA,1.00265055352368,0.5518,1.81705428329772,360803.6594,"Aug 20"
"1033","Higher","Perceptual",27,NA,1.18471797443858,0.5518,2.14700611532906,360803.6594,"Aug 20"
"1033","Higher","Adjusted",27,NA,1.03778197284205,0.5518,1.88072122660756,360803.6594,"Aug 20"
"1034","Lower","Perceptual",15,NA,1.89307960735111,0.5518,3.43073506225282,360803.6594,"Aug 20"
"1034","Lower","Adjusted",15,NA,1.48960635663013,0.5518,2.6995403345961,360803.6594,"Aug 20"
"1034","Higher","Perceptual",25,NA,1.73683377826231,0.5518,3.14757843106616,360803.6594,"Aug 20"
"1034","Higher","Adjusted",25,NA,1.65509630703841,0.5518,2.99944963218269,360803.6594,"Aug 20"
"1035","Lower","Perceptual",15,NA,2.03458955947317,0.5518,3.68718658838922,360803.6594,"Aug 20"
"1035","Lower","Adjusted",15,NA,2.65469525137005,0.5518,4.81097363423352,360803.6594,"Aug 20"
"1035","Higher","Perceptual",27,NA,2.23945896100241,0.5518,4.05846132838422,360803.6594,"Aug 20"
"1035","Higher","Adjusted",27,NA,3.24087052783805,0.5518,5.87327025704612,360803.6594,"Aug 20"
"1036","Lower","Perceptual",16,NA,2.56594451159336,0.5484,4.67896519254807,183560.6568,"Oct 16"
"1036","Lower","Adjusted",16,NA,0.928076631804784,0.5484,1.69233521481543,183560.6568,"Oct 16"
"1036","Higher","Perceptual",39,5.48158118836514,0.78575837505971,0.5484,1.4328197940549,183560.6568,"Oct 16"
"1036","Higher","Adjusted",39,5.48158118836514,1.01856480995505,0.5484,1.85733918664305,183560.6568,"Oct 16"
