Model,Formula,AIC,BIC,DeltaAIC,DeltaBIC,RankAIC,RankBIC
LogAbsElevation,log2(PM) ~ log2(1+abs(Elevation)) + (1|ID),1714.42032189289,1734.36658773051,0,0,1,1
AbsElevation,PM ~ abs(Elevation) + (1|ID),2790.24057842093,2810.18684425856,1075.82025652805,1075.82025652805,2,2
Elevation,PM ~ Elevation + (1|ID),2902.14637835664,2922.09264419427,1187.72605646375,1187.72605646375,3,3
