Model,Formula,AIC,BIC,DeltaAIC,DeltaBIC,RankAIC,RankBIC
logD,log2(PM) ~ log2(D) + (1|ID),1522.9312741628,1542.87754000042,0,0,1,1
D,PM ~ D + (1|ID),2706.72032993454,2726.66659577217,1183.78905577175,1183.78905577175,2,2
