ID,Gender,Date,Time,Age,Version,Measurement,Reported_Visual_Angle,Object,Task,Ground_Distance,Real_Visual_Angle,Ground_Elevation,Width,Observer_Distance,Observer_Elevation,Template_Size,Arm_Length,Ratio_Visual_Angle
3,Male,2/16/24,14:30,21,1,Lamp1_Perceptual_VA,0.496560314,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.52,60,1.339235136
3,Male,2/16/24,14:30,21,1,Lamp1_Adjusted_VA,0.471844929,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.49,59.5,1.272577147
3,Male,2/16/24,14:30,21,1,Lamp2_Perceptual_VA,1.164974047,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.22,60,1.010661999
3,Male,2/16/24,14:30,21,1,Lamp2_Adjusted_VA,1.386586483,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.44,59.5,1.20291973
3,Male,2/16/24,14:30,21,1,Lamp3_Perceptual_VA,0.620698208,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.65,60,1.340032743
3,Male,2/16/24,14:30,21,1,Lamp3_Adjusted_VA,0.562142761,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.52,53,1.213616693
3,Male,2/16/24,14:30,21,1,Lamp4_Perceptual_VA,0.744834644,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.78,60,1.094313403
3,Male,2/16/24,14:30,21,1,Lamp4_Adjusted_VA,0.793313504,Lamp4,Adjusted,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.72,52,1.165538696
3,Male,2/16/24,14:30,21,1,Stick1_Perceptual_VA,1.986054806,Stick1,Perceptual,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,2.08,60,0.840341741
3,Male,2/16/24,14:30,21,1,Stick1_Adjusted_VA,2.018785255,Stick1,Adjusted,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,2.22,63,0.854190686
3,Male,2/16/24,14:30,21,1,Stick2_Perceptual_VA,4.933935098,Stick2,Perceptual,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,5.17,60,0.672330119
3,Male,2/16/24,14:30,21,1,Stick2_Adjusted_VA,7.103821328,Stick2,Adjusted,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,6.89,55.5,0.968012943
3,Male,2/16/24,14:30,21,1,Stick3_Perceptual_VA,2.644685489,Stick3,Perceptual,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,2.77,60,0.895823597
3,Male,2/16/24,14:30,21,1,Stick3_Adjusted_VA,3.205624591,Stick3,Adjusted,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,3.05,54.5,1.085828225
3,Male,2/16/24,14:30,21,1,Stick4_Perceptual_VA,3.169557925,Stick4,Perceptual,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,3.32,60,0.730806982
3,Male,2/16/24,14:30,21,1,Stick4_Adjusted_VA,4.661303787,Stick4,Adjusted,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,4.07,50,1.074759772
4,Male,2/16/24,15:30,21,1,Lamp1_Perceptual_VA,0.968078071,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.98,58,2.610929891
4,Male,2/16/24,15:30,21,1,Lamp1_Adjusted_VA,0.461916961,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.52,64.5,1.245801177
4,Male,2/16/24,15:30,21,1,Lamp2_Perceptual_VA,1.876762886,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.9,58,1.628167542
4,Male,2/16/24,15:30,21,1,Lamp2_Adjusted_VA,1.205142653,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.22,58,1.045509886
4,Male,2/16/24,15:30,21,1,Lamp3_Perceptual_VA,0.948322287,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.96,58,2.047344264
4,Male,2/16/24,15:30,21,1,Lamp3_Adjusted_VA,0.496898336,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.49,56.5,1.072759728
4,Male,2/16/24,15:30,21,1,Lamp4_Perceptual_VA,1.205142653,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,1.22,58,1.770599378
4,Male,2/16/24,15:30,21,1,Lamp4_Adjusted_VA,0.763932409,Lamp4,Adjusted,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.78,58.5,1.1223719
4,Male,2/16/24,15:30,21,1,Stick1_Perceptual_VA,5.103849615,Stick1,Perceptual,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,5.17,58,2.159546584
4,Male,2/16/24,15:30,21,1,Stick1_Adjusted_VA,2.550704602,Stick1,Adjusted,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,3.05,68.5,1.079256998
4,Male,2/16/24,15:30,21,1,Stick2_Perceptual_VA,8.872948971,Stick2,Perceptual,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,9,58,1.209085794
4,Male,2/16/24,15:30,21,1,Stick2_Adjusted_VA,8.107108464,Stick2,Adjusted,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,9,63.5,1.10472738
4,Male,2/16/24,15:30,21,1,Stick3_Perceptual_VA,5.103849615,Stick3,Perceptual,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,5.17,58,1.728806293
4,Male,2/16/24,15:30,21,1,Stick3_Adjusted_VA,3.196179111,Stick3,Adjusted,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,3.32,59.5,1.082628796
4,Male,2/16/24,15:30,21,1,Stick4_Perceptual_VA,6.798356216,Stick4,Perceptual,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,6.89,58,1.567501306
4,Male,2/16/24,15:30,21,1,Stick4_Adjusted_VA,5.333428013,Stick4,Adjusted,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,5.17,55.5,1.229731881
5,Male,2/23/24,14:25,23,1,Lamp1_Perceptual_VA,1.955078838,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,2.44,71.5,5.272894749
5,Male,2/23/24,14:25,23,1,Lamp1_Adjusted_VA,1.039290294,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.39,21.5,2.802990973
